ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
58036, [e|n],99968.0,403456.0,985600.0,1489024.0,1389056.0,1085568.0
58036, [e|n],296960.0,1367680.0,825984.0,2490624.0,2193664.0,1122944.0
58036, [e|n],592512.0,201088.0,596736.0,1390336.0,797824.0,1189248.0
58036, [e|n],443520.0,392064.0,1501056.0,2336640.0,1893120.0,1944576.0
58036, [e|n],397696.0,600832.0,300672.0,1299200.0,901504.0,698368.0
58036, [e|n],379776.0,391040.0,600576.0,1371392.0,991616.0,980352.0
58036, [e|n],1147648.0,1405312.0,490112.0,3043072.0,1895424.0,1637760.0
58036, [e|n],1004032.0,712960.0,883584.0,2600576.0,1596544.0,1887616.0
58036, [e|n],1190400.0,1300480.0,90624.0,2581504.0,1391104.0,1281024.0
58036, [e|n],990976.0,680832.0,500608.0,2172416.0,1181440.0,1491584.0
58036, [e|n],297600.0,295552.0,400512.0,993664.0,696064.0,698112.0
58036, [e|n],992384.0,595200.0,495744.0,2083328.0,1090944.0,1488128.0
58036, [e|n],1178496.0,1082624.0,14592.0,2275712.0,1097216.0,1193088.0
58036, [e|n],80000.0,691072.0,691072.0,1462144.0,1382144.0,771072.0
58036, [e|n],1721344.0,1258368.0,2932736.0,5912448.0,4191104.0,4654080.0
58036, [e|n],1179008.0,1189376.0,4992.0,2373376.0,1194368.0,1184000.0
58036, [e|n],720384.0,1121152.0,274048.0,2115584.0,1395200.0,994432.0
58036, [e|n],850816.0,1271168.0,1510784.0,3632768.0,2781952.0,2361600.0
58036, [e|n],977024.0,851456.0,149760.0,1978240.0,1001216.0,1126784.0
58036, [e|n],299904.0,310144.0,791040.0,1401088.0,1101184.0,1090944.0
58036, [e|n],1091840.0,1322240.0,361216.0,2775296.0,1683456.0,1453056.0
58036, [e|n],922880.0,1020928.0,471552.0,2415360.0,1492480.0,1394432.0
58036, [e|n],1211008.0,99584.0,701056.0,2011648.0,800640.0,1912064.0
58036, [e|n],599680.0,195072.0,696576.0,1491328.0,891648.0,1296256.0
58036, [e|n],490368.0,940928.0,1641344.0,3072640.0,2582272.0,2131712.0
58036, [e|n],910464.0,920704.0,170368.0,2001536.0,1091072.0,1080832.0
58036, [e|n],99584.0,100224.0,1091328.0,1291136.0,1191552.0,1190912.0
58036, [e|n],1228544.0,395648.0,902272.0,2526464.0,1297920.0,2130816.0
58036, [e|n],300032.0,290560.0,800384.0,1390976.0,1090944.0,1100416.0
58036, [e|n],1187968.0,1000064.0,297984.0,2486016.0,1298048.0,1485952.0
58036, [e|n],87936.0,999680.0,1676800.0,2764416.0,2676480.0,1764736.0
58036, [e|n],299136.0,192640.0,593920.0,1085696.0,786560.0,893056.0
58036, [e|n],1191936.0,942336.0,50048.0,2184320.0,992384.0,1241984.0
58036, [e|n],1067264.0,946816.0,90752.0,2104832.0,1037568.0,1158016.0
58036, [e|n],1131136.0,1190016.0,304512.0,2625664.0,1494528.0,1435648.0
58036, [e|n],600320.0,9856.0,998784.0,1608960.0,1008640.0,1599104.0
58036, [e|n],914176.0,820224.0,880384.0,2614784.0,1700608.0,1794560.0
58036, [e|n],1195264.0,1303552.0,192384.0,2691200.0,1495936.0,1387648.0
58036, [e|n],9472.0,189952.0,1082752.0,1282176.0,1272704.0,1092224.0
58036, [e|n],285824.0,396288.0,497152.0,1179264.0,893440.0,782976.0
58036, [e|n],933248.0,1153280.0,939136.0,3025664.0,2092416.0,1872384.0
58036, [e|n],79872.0,109696.0,1381504.0,1571072.0,1491200.0,1461376.0
58036, [e|n],792320.0,1022208.0,272896.0,2087424.0,1295104.0,1065216.0
58036, [e|n],450688.0,100096.0,644992.0,1195776.0,745088.0,1095680.0
58036, [e|n],259840.0,9472.0,1141632.0,1410944.0,1151104.0,1401472.0
