ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
58036, [e|s],1130368.0,1050112.0,539264.0,2719744.0,1589376.0,1669632.0
58036, [e|s],468224.0,781696.0,1250176.0,2500096.0,2031872.0,1718400.0
58036, [e|s],740864.0,760832.0,3922944.0,5424640.0,4683776.0,4663808.0
58036, [e|s],381312.0,1119104.0,2484352.0,3984768.0,3603456.0,2865664.0
58036, [e|s],620800.0,1188224.0,891776.0,2700800.0,2080000.0,1512576.0
58036, [e|s],85120.0,1147776.0,2036224.0,3269120.0,3184000.0,2121344.0
58036, [e|s],974336.0,453504.0,947584.0,2375424.0,1401088.0,1921920.0
58036, [e|s],944000.0,611840.0,887936.0,2443776.0,1499776.0,1831936.0
58036, [e|s],937600.0,1473152.0,1078016.0,3488768.0,2551168.0,2015616.0
58036, [e|s],1158528.0,1126528.0,668544.0,2953600.0,1795072.0,1827072.0
58036, [e|s],400384.0,920576.0,1961984.0,3282944.0,2882560.0,2362368.0
58036, [e|s],780160.0,750080.0,751232.0,2281472.0,1501312.0,1531392.0
58036, [e|s],960896.0,1150848.0,70373504.0,72485248.0,71524352.0,71334400.0
58036, [e|s],394496.0,696192.0,1797888.0,2888576.0,2494080.0,2192384.0
58036, [e|s],199552.0,540416.0,1561472.0,2301440.0,2101888.0,1761024.0
58036, [e|s],390400.0,760960.0,1531136.0,2682496.0,2292096.0,1921536.0
58036, [e|s],1105280.0,483840.0,954624.0,2543744.0,1438464.0,2059904.0
58036, [e|s],841088.0,1031424.0,1060608.0,2933120.0,2092032.0,1901696.0
58036, [e|s],312192.0,937728.0,1250304.0,2500224.0,2188032.0,1562496.0
58036, [e|s],468864.0,781696.0,1093376.0,2343936.0,1875072.0,1562240.0
58036, [e|s],885760.0,902656.0,791296.0,2579712.0,1693952.0,1677056.0
58036, [e|s],99712.0,700672.0,801024.0,1601408.0,1501696.0,900736.0
58036, [e|s],390400.0,1100928.0,1691520.0,3182848.0,2792448.0,2081920.0
58036, [e|s],1249792.0,155648.0,1250432.0,2655872.0,1406080.0,2500224.0
58036, [e|s],100224.0,934400.0,1758592.0,2793216.0,2692992.0,1858816.0
58036, [e|s],480000.0,510464.0,1581440.0,2571904.0,2091904.0,2061440.0
58036, [e|s],156544.0,937728.0,2187264.0,3281536.0,3124992.0,2343808.0
