ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
58036, [h|e],295296.0,195328.0,793472.0,1284096.0,988800.0,1088768.0
58036, [h|e],1123840.0,1202944.0,889984.0,3216768.0,2092928.0,2013824.0
58036, [h|e],99968.0,200192.0,900864.0,1201024.0,1101056.0,1000832.0
58036, [h|e],500480.0,1170944.0,820736.0,2492160.0,1991680.0,1321216.0
58036, [h|e],1118848.0,654464.0,639360.0,2412672.0,1293824.0,1758208.0
58036, [h|e],604160.0,935808.0,859392.0,2399360.0,1795200.0,1463552.0
58036, [h|e],99712.0,401280.0,497792.0,998784.0,899072.0,597504.0
58036, [h|e],201216.0,193920.0,704768.0,1099904.0,898688.0,905984.0
58036, [h|e],501248.0,1092096.0,1412352.0,3005696.0,2504448.0,1913600.0
58036, [h|e],301312.0,500864.0,499072.0,1301248.0,999936.0,800384.0
58036, [h|e],394496.0,4736.0,604928.0,1004160.0,609664.0,999424.0
58036, [h|e],199808.0,99968.0,1001216.0,1300992.0,1101184.0,1201024.0
58036, [h|e],780160.0,998784.0,97152.0,1876096.0,1095936.0,877312.0
58036, [h|e],1152512.0,1141888.0,250240.0,2544640.0,1392128.0,1402752.0
58036, [h|e],932352.0,1099008.0,609024.0,2640384.0,1708032.0,1541376.0
58036, [h|e],963840.0,1145600.0,3852544.0,5961984.0,4998144.0,4816384.0
58036, [h|e],791168.0,199552.0,400384.0,1391104.0,599936.0,1191552.0
58036, [h|e],1004416.0,1311360.0,380928.0,2696704.0,1692288.0,1385344.0
58036, [h|e],1499264.0,1654656.0,7413248.0,10567168.0,9067904.0,8912512.0
58036, [h|e],200576.0,500352.0,600704.0,1301632.0,1101056.0,801280.0
58036, [h|e],150144.0,19840.0,1041408.0,1211392.0,1061248.0,1191552.0
58036, [h|e],300800.0,200192.0,399488.0,900480.0,599680.0,700288.0
58036, [h|e],300160.0,280576.0,710656.0,1291392.0,991232.0,1010816.0
58036, [h|e],690816.0,510464.0,300032.0,1501312.0,810496.0,990848.0
58036, [h|e],299776.0,500480.0,590592.0,1390848.0,1091072.0,890368.0
58036, [h|e],190208.0,19712.0,1091200.0,1301120.0,1110912.0,1281408.0
58036, [h|e],229504.0,199680.0,961408.0,1390592.0,1161088.0,1190912.0
58036, [h|e],290816.0,300416.0,400384.0,991616.0,700800.0,691200.0
58036, [h|e],20096.0,381056.0,980736.0,1381888.0,1361792.0,1000832.0
58036, [h|e],109568.0,250112.0,1181696.0,1541376.0,1431808.0,1291264.0
58036, [h|e],155520.0,641280.0,480512.0,1277312.0,1121792.0,636032.0
58036, [h|e],300288.0,491008.0,599936.0,1391232.0,1090944.0,900224.0
58036, [h|e],312064.0,936832.0,1094400.0,2343296.0,2031232.0,1406464.0
58036, [h|e],400896.0,199808.0,600448.0,1201152.0,800256.0,1001344.0
58036, [h|e],1110784.0,1270656.0,2212480.0,4593920.0,3483136.0,3323264.0
58036, [h|e],1331328.0,1601024.0,1781888.0,4714240.0,3382912.0,3113216.0
58036, [h|e],690560.0,1160960.0,1831680.0,3683200.0,2992640.0,2522240.0
58036, [h|e],596096.0,396160.0,196864.0,1189120.0,593024.0,792960.0
58036, [h|e],490752.0,1381248.0,410368.0,2282368.0,1791616.0,901120.0
58036, [h|e],312192.0,312704.0,625408.0,1250304.0,938112.0,937600.0
58036, [h|e],1021056.0,1260672.0,530560.0,2812288.0,1791232.0,1551616.0
