ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
76383, [h|i],540032.0,649984.0,200064.0,1390080.0,850048.0,740096.0
76383, [h|i],588032.0,236032.0,519936.0,1344000.0,755968.0,1107968.0
76383, [h|i],460032.0,210048.0,310016.0,980096.0,520064.0,770048.0
76383, [h|i],1102080.0,1027712.0,625664.0,2755456.0,1653376.0,1727744.0
76383, [h|i],320000.0,1272960.0,1204992.0,2797952.0,2477952.0,1524992.0
76383, [h|i],560000.0,236032.0,502016.0,1298048.0,738048.0,1062016.0
76383, [h|i],1374080.0,1520128.0,470016.0,3364224.0,1990144.0,1844096.0
76383, [h|i],760064.0,39936.0,400000.0,1200000.0,439936.0,1160064.0
76383, [h|i],960768.0,391040.0,2567168.0,3918976.0,2958208.0,3527936.0
76383, [h|i],561536.0,881408.0,1042176.0,2485120.0,1923584.0,1603712.0
76383, [h|i],461952.0,678016.0,396032.0,1536000.0,1074048.0,857984.0
76383, [h|i],80000.0,550144.0,310016.0,940160.0,860160.0,390016.0
76383, [h|i],846080.0,256000.0,624000.0,1726080.0,880000.0,1470080.0
76383, [h|i],647936.0,256128.0,29952.0,934016.0,286080.0,677888.0
76383, [h|i],659968.0,430080.0,1166080.0,2256128.0,1596160.0,1826048.0
76383, [h|i],440064.0,899968.0,1190144.0,2530176.0,2090112.0,1630208.0
76383, [h|i],1010176.0,460032.0,49920.0,1520128.0,509952.0,1060096.0
76383, [h|i],406912.0,751104.0,1193088.0,2351104.0,1944192.0,1600000.0
76383, [h|i],420096.0,680064.0,29952.0,1130112.0,710016.0,450048.0
76383, [h|i],795520.0,954496.0,639872.0,2389888.0,1594368.0,1435392.0
76383, [h|i],432000.0,290048.0,29952.0,752000.0,320000.0,461952.0
76383, [h|i],957696.0,721024.0,560768.0,2239488.0,1281792.0,1518464.0
76383, [h|i],604160.0,1406208.0,625536.0,2635904.0,2031744.0,1229696.0
76383, [h|i],560384.0,320128.0,2471808.0,3352320.0,2791936.0,3032192.0
