ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
76383, [a|c],1440128.0,990080.0,2570112.0,5000320.0,3560192.0,4010240.0
76383, [a|c],489984.0,1310080.0,1470080.0,3270144.0,2780160.0,1960064.0
76383, [a|c],1860096.0,220032.0,1820160.0,3900288.0,2040192.0,3680256.0
76383, [a|c],2514048.0,1865984.0,532096.0,4912128.0,2398080.0,3046144.0
76383, [a|c],30080.0,1070080.0,1289984.0,2390144.0,2360064.0,1320064.0
76383, [a|c],1280896.0,1281024.0,320256.0,2882176.0,1601280.0,1601152.0
76383, [a|c],380032.0,1200128.0,1510016.0,3090176.0,2710144.0,1890048.0
76383, [a|c],1520128.0,1640064.0,2149888.0,5310080.0,3789952.0,3670016.0
76383, [a|c],1220096.0,1090048.0,600064.0,2910208.0,1690112.0,1820160.0
76383, [a|c],467968.0,1280128.0,1868032.0,3616128.0,3148160.0,2336000.0
76383, [a|c],1818880.0,1316608.0,952704.0,4088192.0,2269312.0,2771584.0
76383, [a|c],371840.0,1109504.0,3867648.0,5348992.0,4977152.0,4239488.0
76383, [a|c],230016.0,155904.0,2284160.0,2670080.0,2440064.0,2514176.0
76383, [a|c],1084032.0,311936.0,1594112.0,2990080.0,1906048.0,2678144.0
76383, [a|c],1540096.0,1180032.0,3980160.0,6700288.0,5160192.0,5520256.0
76383, [a|c],310016.0,980096.0,2070144.0,3360256.0,3050240.0,2380160.0
76383, [a|c],759936.0,1240064.0,1290112.0,3290112.0,2530176.0,2050048.0
76383, [a|c],270080.0,1040128.0,2850048.0,4160256.0,3890176.0,3120128.0
76383, [a|c],1530112.0,1040000.0,900096.0,3470208.0,1940096.0,2430208.0
76383, [a|c],1761152.0,1360896.0,640640.0,3762688.0,2001536.0,2401792.0
76383, [a|c],1410048.0,1180032.0,3400192.0,5990272.0,4580224.0,4810240.0
76383, [a|c],1562496.0,2031232.0,3906432.0,7500160.0,5937664.0,5468928.0
76383, [a|c],440064.0,1510144.0,1180032.0,3130240.0,2690176.0,1620096.0
76383, [a|c],29952.0,1170048.0,1630080.0,2830080.0,2800128.0,1660032.0
76383, [a|c],468736.0,1250048.0,2187776.0,3906560.0,3437824.0,2656512.0
76383, [a|c],1711488.0,1137536.0,1905664.0,4754688.0,3043200.0,3617152.0
