ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
76383, [l|e],1666048.0,920064.0,10360064.0,12946176.0,11280128.0,12026112.0
76383, [l|e],244096.0,958464.0,800256.0,2002816.0,1758720.0,1044352.0
76383, [l|e],540032.0,220032.0,729984.0,1490048.0,950016.0,1270016.0
76383, [l|e],567936.0,9984.0,2426112.0,3004032.0,2436096.0,2994048.0
76383, [l|e],311936.0,721920.0,728064.0,1761920.0,1449984.0,1040000.0
76383, [l|e],720000.0,320000.0,1740032.0,2780032.0,2060032.0,2460032.0
76383, [l|e],1144064.0,1021952.0,1182080.0,3348096.0,2204032.0,2326144.0
76383, [l|e],976384.0,1562752.0,625152.0,3164288.0,2187904.0,1601536.0
76383, [l|e],432000.0,249984.0,1166080.0,1848064.0,1416064.0,1598080.0
76383, [l|e],1280896.0,1040768.0,15601152.0,17922816.0,16641920.0,16882048.0
76383, [l|e],1030656.0,1351552.0,9984.0,2392192.0,1361536.0,1040640.0
76383, [l|e],390528.0,220160.0,1780992.0,2391680.0,2001152.0,2171520.0
76383, [l|e],319232.0,522496.0,1155200.0,1996928.0,1677696.0,1474432.0
76383, [l|e],1128064.0,156032.0,2540032.0,3824128.0,2696064.0,3668096.0
76383, [l|e],468096.0,1248000.0,1559936.0,3276032.0,2807936.0,2028032.0
76383, [l|e],1130112.0,1250176.0,339968.0,2720256.0,1590144.0,1470080.0
76383, [l|e],1580032.0,880000.0,200064.0,2660096.0,1080064.0,1780096.0
76383, [l|e],1513088.0,1440256.0,160256.0,3113600.0,1600512.0,1673344.0
76383, [l|e],1228032.0,1422080.0,2038016.0,4688128.0,3460096.0,3266048.0
76383, [l|e],457984.0,1192704.0,1198208.0,2848896.0,2390912.0,1656192.0
76383, [l|e],440064.0,39936.0,1140096.0,1620096.0,1180032.0,1580160.0
76383, [l|e],382080.0,1063936.0,1292032.0,2738048.0,2355968.0,1674112.0
76383, [l|e],365696.0,488832.0,1250560.0,2105088.0,1739392.0,1616256.0
76383, [l|e],1441024.0,1921408.0,2481664.0,5844096.0,4403072.0,3922688.0
76383, [l|e],311936.0,651904.0,1186176.0,2150016.0,1838080.0,1498112.0
76383, [l|e],392064.0,29952.0,1128064.0,1550080.0,1158016.0,1520128.0
76383, [l|e],652032.0,973952.0,1172096.0,2798080.0,2146048.0,1824128.0
76383, [l|e],1356544.0,1283200.0,239872.0,2879616.0,1523072.0,1596416.0
76383, [l|e],800000.0,640000.0,320000.0,1760000.0,960000.0,1120000.0
76383, [l|e],1010048.0,980096.0,259968.0,2250112.0,1240064.0,1270016.0
76383, [l|e],650112.0,29952.0,1950080.0,2630144.0,1980032.0,2600192.0
76383, [l|e],1350016.0,1289984.0,3120256.0,5760256.0,4410240.0,4470272.0
76383, [l|e],1244928.0,260480.0,2103168.0,3608576.0,2363648.0,3348096.0
76383, [l|e],1184000.0,1222016.0,643968.0,3049984.0,1865984.0,1827968.0
76383, [l|e],1400064.0,1740032.0,2296064.0,5436160.0,4036096.0,3696128.0
76383, [l|e],880640.0,240384.0,2081408.0,3202432.0,2321792.0,2962048.0
76383, [l|e],311936.0,312064.0,526080.0,1150080.0,838144.0,838016.0
76383, [l|e],1362048.0,1486976.0,3707008.0,6556032.0,5193984.0,5069056.0
76383, [l|e],800768.0,961536.0,962816.0,2725120.0,1924352.0,1763584.0
76383, [l|e],312064.0,156032.0,982016.0,1450112.0,1138048.0,1294080.0
76383, [l|e],326016.0,185984.0,1020032.0,1532032.0,1206016.0,1346048.0
