ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
123597, [l|s],221056.0,517632.0,1453696.0,2192384.0,1971328.0,1674752.0
123597, [l|s],575104.0,970112.0,89984.0,1635200.0,1060096.0,665088.0
123597, [l|s],765056.0,595072.0,920192.0,2280320.0,1515264.0,1685248.0
123597, [l|s],993408.0,955264.0,157312.0,2105984.0,1112576.0,1150720.0
123597, [l|s],470144.0,346624.0,1765760.0,2582528.0,2112384.0,2235904.0
123597, [l|s],586240.0,690176.0,2220672.0,3497088.0,2910848.0,2806912.0
123597, [l|s],798336.0,485632.0,6157440.0,7441408.0,6643072.0,6955776.0
123597, [l|s],312576.0,685568.0,712064.0,1710208.0,1397632.0,1024640.0
123597, [l|s],920448.0,443008.0,808704.0,2172160.0,1251712.0,1729152.0
123597, [l|s],377600.0,875264.0,156288.0,1409152.0,1031552.0,533888.0
123597, [l|s],755840.0,1626368.0,535808.0,2918016.0,2162176.0,1291648.0
123597, [l|s],962688.0,1315200.0,508928.0,2786816.0,1824128.0,1471616.0
123597, [l|s],990208.0,260096.0,1455104.0,2705408.0,1715200.0,2445312.0
123597, [l|s],781312.0,1473920.0,220160.0,2475392.0,1694080.0,1001472.0
123597, [l|s],115072.0,100096.0,2231424.0,2446592.0,2331520.0,2346496.0
123597, [l|s],565632.0,1010560.0,377472.0,1953664.0,1388032.0,943104.0
123597, [l|s],715776.0,1081728.0,156288.0,1953792.0,1238016.0,872064.0
123597, [l|s],781312.0,937600.0,312448.0,2031360.0,1250048.0,1093760.0
123597, [l|s],700160.0,513792.0,838016.0,2051968.0,1351808.0,1538176.0
123597, [l|s],802176.0,686464.0,313600.0,1802240.0,1000064.0,1115776.0
123597, [l|s],781312.0,780672.0,1250560.0,2812544.0,2031232.0,2031872.0
123597, [l|s],695040.0,518784.0,784128.0,1997952.0,1302912.0,1479168.0
123597, [l|s],155648.0,503936.0,1331712.0,1991296.0,1835648.0,1487360.0
123597, [l|s],634752.0,707840.0,460288.0,1802880.0,1168128.0,1095040.0
123597, [l|s],683008.0,909184.0,312448.0,1904640.0,1221632.0,995456.0
123597, [l|s],937344.0,1093504.0,312704.0,2343552.0,1406208.0,1250048.0
123597, [l|s],250240.0,295424.0,2558976.0,3104640.0,2854400.0,2809216.0
123597, [l|s],702336.0,588160.0,1004800.0,2295296.0,1592960.0,1707136.0
123597, [l|s],1080192.0,545152.0,1355136.0,2980480.0,1900288.0,2435328.0
123597, [l|s],689024.0,690432.0,468736.0,1848192.0,1159168.0,1157760.0
123597, [l|s],762496.0,1550336.0,8548864.0,10861696.0,10099200.0,9311360.0
123597, [l|s],738432.0,380416.0,1497600.0,2616448.0,1878016.0,2236032.0
123597, [l|s],500864.0,922368.0,130048.0,1553280.0,1052416.0,630912.0
123597, [l|s],770048.0,1195392.0,140032.0,2105472.0,1335424.0,910080.0
123597, [l|s],316288.0,844672.0,910080.0,2071040.0,1754752.0,1226368.0
123597, [l|s],1235200.0,625024.0,1575168.0,3435392.0,2200192.0,2810368.0
123597, [l|s],865920.0,354816.0,573312.0,1794048.0,928128.0,1439232.0
123597, [l|s],105088.0,1321600.0,1303296.0,2729984.0,2624896.0,1408384.0
123597, [l|s],615040.0,795136.0,390016.0,1800192.0,1185152.0,1005056.0
123597, [l|s],915200.0,305024.0,705024.0,1925248.0,1010048.0,1620224.0
123597, [l|s],862976.0,1270144.0,160128.0,2293248.0,1430272.0,1023104.0
123597, [l|s],771584.0,767744.0,340096.0,1879424.0,1107840.0,1111680.0
123597, [l|s],865024.0,1000064.0,195072.0,2060160.0,1195136.0,1060096.0
123597, [l|s],879872.0,380160.0,885120.0,2145152.0,1265280.0,1764992.0
123597, [l|s],675712.0,833152.0,455040.0,1963904.0,1288192.0,1130752.0
123597, [l|s],744832.0,841600.0,415744.0,2002176.0,1257344.0,1160576.0
123597, [l|s],1029376.0,577408.0,1091712.0,2698496.0,1669120.0,2121088.0
123597, [l|s],1125632.0,1381632.0,356992.0,2864256.0,1738624.0,1482624.0
123597, [l|s],875136.0,955136.0,4146944.0,5977216.0,5102080.0,5022080.0
123597, [l|s],1119360.0,1367936.0,699776.0,3187072.0,2067712.0,1819136.0
123597, [l|s],1085184.0,360192.0,1190144.0,2635520.0,1550336.0,2275328.0
123597, [l|s],1003648.0,640128.0,1600128.0,3243904.0,2240256.0,2603776.0
123597, [l|s],989952.0,370048.0,760064.0,2120064.0,1130112.0,1750016.0
123597, [l|s],848384.0,1680256.0,401664.0,2930304.0,2081920.0,1250048.0
123597, [l|s],1117440.0,1612032.0,341632.0,3071104.0,1953664.0,1459072.0
123597, [l|s],685056.0,765440.0,515072.0,1965568.0,1280512.0,1200128.0
123597, [l|s],870144.0,715008.0,94976.0,1680128.0,809984.0,965120.0
123597, [l|s],140032.0,1005312.0,815104.0,1960448.0,1820416.0,955136.0
123597, [l|s],139392.0,880000.0,1035904.0,2055296.0,1915904.0,1175296.0
123597, [l|s],790144.0,180608.0,1858688.0,2829440.0,2039296.0,2648832.0
123597, [l|s],835072.0,300032.0,925312.0,2060416.0,1225344.0,1760384.0
123597, [l|s],919936.0,199936.0,932864.0,2052736.0,1132800.0,1852800.0
123597, [l|s],1020032.0,450048.0,5820288.0,7290368.0,6270336.0,6840320.0
123597, [l|s],937984.0,525312.0,909312.0,2372608.0,1434624.0,1847296.0
123597, [l|s],534016.0,468736.0,156288.0,1159040.0,625024.0,690304.0
123597, [l|s],966144.0,1261312.0,80512.0,2307968.0,1341824.0,1046656.0
123597, [l|s],140160.0,394752.0,1422336.0,1957248.0,1817088.0,1562496.0
123597, [l|s],816640.0,240128.0,1254400.0,2311168.0,1494528.0,2071040.0
123597, [l|s],937344.0,468864.0,756864.0,2163072.0,1225728.0,1694208.0
123597, [l|s],738816.0,839168.0,2047104.0,3625088.0,2886272.0,2785920.0
123597, [l|s],740864.0,2022656.0,270336.0,3033856.0,2292992.0,1011200.0
123597, [l|s],945152.0,465152.0,860032.0,2270336.0,1325184.0,1805184.0
123597, [l|s],919680.0,400384.0,1084800.0,2404864.0,1485184.0,2004480.0
123597, [l|s],832768.0,353408.0,755072.0,1941248.0,1108480.0,1587840.0
123597, [l|s],257536.0,468608.0,2587136.0,3313280.0,3055744.0,2844672.0
123597, [l|s],1025280.0,289920.0,495104.0,1810304.0,785024.0,1520384.0
123597, [l|s],620288.0,860032.0,400128.0,1880448.0,1260160.0,1020416.0
123597, [l|s],983040.0,410496.0,762112.0,2155648.0,1172608.0,1745152.0
123597, [l|s],699264.0,599040.0,624896.0,1923200.0,1223936.0,1324160.0
123597, [l|s],468736.0,156288.0,1495552.0,2120576.0,1651840.0,1964288.0
123597, [l|s],800000.0,953472.0,1063040.0,2816512.0,2016512.0,1863040.0
123597, [l|s],865792.0,641152.0,839168.0,2346112.0,1480320.0,1704960.0
123597, [l|s],720128.0,390016.0,1650048.0,2760192.0,2040064.0,2370176.0
123597, [l|s],603264.0,2225536.0,312576.0,3141376.0,2538112.0,915840.0
123597, [l|s],150016.0,1020032.0,1100160.0,2270208.0,2120192.0,1250176.0
123597, [l|s],811648.0,818048.0,238080.0,1867776.0,1056128.0,1049728.0
123597, [l|s],745728.0,635520.0,1690496.0,3071744.0,2326016.0,2436224.0
123597, [l|s],689280.0,979584.0,14939904.0,16608768.0,15919488.0,15629184.0
123597, [l|s],620800.0,171904.0,1526272.0,2318976.0,1698176.0,2147072.0
123597, [l|s],780288.0,781312.0,156032.0,1717632.0,937344.0,936320.0
123597, [l|s],781696.0,970496.0,722688.0,2474880.0,1693184.0,1504384.0
123597, [l|s],845312.0,155904.0,1159936.0,2161152.0,1315840.0,2005248.0
123597, [l|s],649728.0,375424.0,4160640.0,5185792.0,4536064.0,4810368.0
123597, [l|s],130048.0,429952.0,1850112.0,2410112.0,2280064.0,1980160.0
123597, [l|s],1189504.0,800128.0,639872.0,2629504.0,1440000.0,1829376.0
123597, [l|s],529792.0,925184.0,1015168.0,2470144.0,1940352.0,1544960.0
123597, [l|s],130048.0,500096.0,1846016.0,2476160.0,2346112.0,1976064.0
123597, [l|s],625024.0,781696.0,1222400.0,2629120.0,2004096.0,1847424.0
123597, [l|s],575232.0,945024.0,355200.0,1875456.0,1300224.0,930432.0
123597, [l|s],920064.0,1175168.0,390016.0,2485248.0,1565184.0,1310080.0
123597, [l|s],713600.0,874880.0,282496.0,1870976.0,1157376.0,996096.0
123597, [l|s],1380096.0,400128.0,505088.0,2285312.0,905216.0,1885184.0
123597, [l|s],150016.0,347648.0,1302656.0,1800320.0,1650304.0,1452672.0
123597, [l|s],925696.0,493568.0,1112192.0,2531456.0,1605760.0,2037888.0
123597, [l|s],1005696.0,689024.0,1163520.0,2858240.0,1852544.0,2169216.0
123597, [l|s],130048.0,400128.0,1445120.0,1975296.0,1845248.0,1575168.0
123597, [l|s],936576.0,1211776.0,468480.0,2616832.0,1680256.0,1405056.0
123597, [l|s],186240.0,1069952.0,1232256.0,2488448.0,2302208.0,1418496.0
123597, [l|s],1021312.0,948992.0,78208.0,2048512.0,1027200.0,1099520.0
123597, [l|s],755200.0,468736.0,540416.0,1764352.0,1009152.0,1295616.0
123597, [l|s],781440.0,624768.0,937600.0,2343808.0,1562368.0,1719040.0
123597, [l|s],573184.0,760192.0,400384.0,1733760.0,1160576.0,973568.0
123597, [l|s],919936.0,1239936.0,20640128.0,22800000.0,21880064.0,21560064.0
123597, [l|s],935296.0,635904.0,640128.0,2211328.0,1276032.0,1575424.0
123597, [l|s],770432.0,240128.0,2270592.0,3281152.0,2510720.0,3041024.0
123597, [l|s],698368.0,1965824.0,38528.0,2702720.0,2004352.0,736896.0
123597, [l|s],531072.0,312320.0,2317312.0,3160704.0,2629632.0,2848384.0
123597, [l|s],900736.0,1131520.0,3820160.0,5852416.0,4951680.0,4720896.0
123597, [l|s],727040.0,483456.0,1013248.0,2223744.0,1496704.0,1740288.0
123597, [l|s],480000.0,640384.0,799744.0,1920128.0,1440128.0,1279744.0
123597, [l|s],750976.0,818176.0,238976.0,1808128.0,1057152.0,989952.0
123597, [l|s],994816.0,1057152.0,2508672.0,4560640.0,3565824.0,3503488.0
123597, [l|s],968832.0,320512.0,565760.0,1855104.0,886272.0,1534592.0
123597, [l|s],1080192.0,1205120.0,25187355392.0,25189640704.0,25188560512.0,25188435584.0
123597, [l|s],899840.0,1367296.0,606720.0,2873856.0,1974016.0,1506560.0
123597, [l|s],135040.0,710144.0,2200576.0,3045760.0,2910720.0,2335616.0
123597, [l|s],490240.0,1339392.0,6175577856.0,6177407488.0,6176917248.0,6176068096.0
123597, [l|s],841344.0,480384.0,705792.0,2027520.0,1186176.0,1547136.0
123597, [l|s],625024.0,781312.0,1406208.0,2812544.0,2187520.0,2031232.0
123597, [l|s],901248.0,885248.0,820096.0,2606592.0,1705344.0,1721344.0
123597, [l|s],875136.0,840064.0,2565376.0,4280576.0,3405440.0,3440512.0
123597, [l|s],944000.0,530432.0,1069312.0,2543744.0,1599744.0,2013312.0
123597, [l|s],948096.0,1557120.0,103680.0,2608896.0,1660800.0,1051776.0
123597, [l|s],804992.0,1220096.0,19391104.0,21416192.0,20611200.0,20196096.0
123597, [l|s],240000.0,517504.0,2190336.0,2947840.0,2707840.0,2430336.0
123597, [l|s],485760.0,560384.0,5993600.0,7039744.0,6553984.0,6479360.0
123597, [l|s],845568.0,468864.0,1158016.0,2472448.0,1626880.0,2003584.0
123597, [l|s],759936.0,800000.0,440064.0,2000000.0,1240064.0,1200000.0
123597, [l|s],578560.0,70016.0,525184.0,1173760.0,595200.0,1103744.0
123597, [l|s],30080.0,730752.0,1104384.0,1865216.0,1835136.0,1134464.0
123597, [l|s],1020032.0,800000.0,89984.0,1910016.0,889984.0,1110016.0
