ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
76383, [m|a],311936.0,1572096.0,1654016.0,3538048.0,3226112.0,1965952.0
76383, [m|a],1441280.0,1601280.0,1200640.0,4243200.0,2801920.0,2641920.0
76383, [m|a],1264000.0,2468096.0,800000.0,4532096.0,3268096.0,2064000.0
76383, [m|a],1439744.0,964096.0,477440.0,2881280.0,1441536.0,1917184.0
76383, [m|a],720512.0,240256.0,2321792.0,3282560.0,2562048.0,3042304.0
76383, [m|a],1710080.0,1280128.0,179968.0,3170176.0,1460096.0,1890048.0
76383, [m|a],786048.0,441984.0,236032.0,1464064.0,678016.0,1022080.0
76383, [m|a],660096.0,1330048.0,1810048.0,3800192.0,3140096.0,2470144.0
76383, [m|a],1220096.0,2000000.0,1101952.0,4322048.0,3101952.0,2322048.0
76383, [m|a],880128.0,1913984.0,601984.0,3396096.0,2515968.0,1482112.0
76383, [m|a],800512.0,1190912.0,9984.0,2001408.0,1200896.0,810496.0
76383, [m|a],1091968.0,1559936.0,156032.0,2807936.0,1715968.0,1248000.0
76383, [m|a],312064.0,467968.0,2807936.0,3587968.0,3275904.0,3120000.0
76383, [m|a],1160064.0,1320064.0,300032.0,2780160.0,1620096.0,1460096.0
76383, [m|a],1160064.0,1200128.0,910080.0,3270272.0,2110208.0,2070144.0
76383, [m|a],631936.0,296064.0,528000.0,1456000.0,824064.0,1159936.0
76383, [m|a],1600128.0,30080.0,2080128.0,3710336.0,2110208.0,3680256.0
76383, [m|a],1198464.0,1113856.0,2086400.0,4398720.0,3200256.0,3284864.0
76383, [m|a],802816.0,1202816.0,639616.0,2645248.0,1842432.0,1442432.0
76383, [m|a],560384.0,1521024.0,150144.0,2231552.0,1671168.0,710528.0
76383, [m|a],1286144.0,1273600.0,479360.0,3039104.0,1752960.0,1765504.0
76383, [m|a],1280640.0,1434752.0,800512.0,3515904.0,2235264.0,2081152.0
76383, [m|a],560128.0,30080.0,839936.0,1430144.0,870016.0,1400064.0
76383, [m|a],210048.0,39936.0,920064.0,1170048.0,960000.0,1130112.0
76383, [m|a],1112192.0,1208064.0,240128.0,2560384.0,1448192.0,1352320.0
76383, [m|a],800000.0,1650176.0,2000128.0,4450304.0,3650304.0,2800128.0
76383, [m|a],710016.0,1190144.0,690048.0,2590208.0,1880192.0,1400064.0
76383, [m|a],1200128.0,1100160.0,189952.0,2490240.0,1290112.0,1390080.0
76383, [m|a],429952.0,312064.0,665984.0,1408000.0,978048.0,1095936.0
76383, [m|a],800000.0,1441024.0,80000.0,2321024.0,1521024.0,880000.0
76383, [m|a],1516032.0,1160064.0,893952.0,3570048.0,2054016.0,2409984.0
76383, [m|a],1270656.0,1360896.0,11368064.0,13999616.0,12728960.0,12638720.0
76383, [m|a],1022080.0,1224064.0,1447936.0,3694080.0,2672000.0,2470016.0
76383, [m|a],886016.0,311936.0,624000.0,1821952.0,935936.0,1510016.0
76383, [m|a],467968.0,1091968.0,1404032.0,2963968.0,2496000.0,1872000.0
76383, [m|a],420096.0,1330176.0,1200000.0,2950272.0,2530176.0,1620096.0
76383, [m|a],537984.0,156032.0,790016.0,1484032.0,946048.0,1328000.0
76383, [m|a],964608.0,1036928.0,560384.0,2561920.0,1597312.0,1524992.0
76383, [m|a],1000064.0,39936.0,510080.0,1550080.0,550016.0,1510144.0
76383, [m|a],1248000.0,1715968.0,312064.0,3276032.0,2028032.0,1560064.0
76383, [m|a],657920.0,311936.0,312064.0,1281920.0,624000.0,969984.0
76383, [m|a],582016.0,1097984.0,899968.0,2579968.0,1997952.0,1481984.0
76383, [m|a],930048.0,9984.0,70016.0,1010048.0,80000.0,1000064.0
76383, [m|a],640000.0,1200128.0,800000.0,2640128.0,2000128.0,1440000.0
76383, [m|a],1050496.0,1195264.0,313088.0,2558848.0,1508352.0,1363584.0
76383, [m|a],1562496.0,1250048.0,1295744.0,4108288.0,2545792.0,2858240.0
76383, [m|a],1473536.0,937856.0,155904.0,2567296.0,1093760.0,1629440.0
76383, [m|a],1605120.0,1447936.0,553088.0,3606144.0,2001024.0,2158208.0
76383, [m|a],450048.0,1666048.0,1326080.0,3442176.0,2992128.0,1776128.0
76383, [m|a],953984.0,1026048.0,311936.0,2291968.0,1337984.0,1265920.0
76383, [m|a],1618304.0,1217408.0,467968.0,3303680.0,1685376.0,2086272.0
76383, [m|a],1184128.0,1505664.0,1405952.0,4095744.0,2911616.0,2590080.0
76383, [m|a],990080.0,916096.0,199936.0,2106112.0,1116032.0,1190016.0
76383, [m|a],467968.0,1628032.0,3102080.0,5198080.0,4730112.0,3570048.0
76383, [m|a],649984.0,560000.0,410112.0,1620096.0,970112.0,1060096.0
76383, [m|a],860160.0,430080.0,519936.0,1810176.0,950016.0,1380096.0
76383, [m|a],1912192.0,1363584.0,159872.0,3435648.0,1523456.0,2072064.0
76383, [m|a],1270144.0,1700096.0,1860096.0,4830336.0,3560192.0,3130240.0
76383, [m|a],1601280.0,2001408.0,310016.0,3912704.0,2311424.0,1911296.0
76383, [m|a],803968.0,1275904.0,936064.0,3015936.0,2211968.0,1740032.0
76383, [m|a],873344.0,1189376.0,469376.0,2532096.0,1658752.0,1342720.0
76383, [m|a],625024.0,782080.0,934784.0,2341888.0,1716864.0,1559808.0
76383, [m|a],574208.0,453120.0,546432.0,1573760.0,999552.0,1120640.0
76383, [m|a],666752.0,576768.0,1756416.0,2999936.0,2333184.0,2423168.0
76383, [m|a],1285376.0,1762432.0,320640.0,3368448.0,2083072.0,1606016.0
76383, [m|a],1610112.0,860032.0,419968.0,2890112.0,1280000.0,2030080.0
76383, [m|a],1008000.0,1617920.0,468096.0,3094016.0,2086016.0,1476096.0
76383, [m|a],1005184.0,1463552.0,849792.0,3318528.0,2313344.0,1854976.0
76383, [m|a],1030016.0,1038080.0,627968.0,2696064.0,1666048.0,1657984.0
76383, [m|a],1075968.0,537984.0,1646080.0,3260032.0,2184064.0,2722048.0
76383, [m|a],1801600.0,350336.0,2207616.0,4359552.0,2557952.0,4009216.0
76383, [m|a],1369984.0,1139968.0,200064.0,2710016.0,1340032.0,1570048.0
76383, [m|a],1250048.0,1390080.0,410112.0,3050240.0,1800192.0,1660160.0
76383, [m|a],1270144.0,970112.0,599936.0,2840192.0,1570048.0,1870080.0
76383, [m|a],1230080.0,1000064.0,579968.0,2810112.0,1580032.0,1810048.0
76383, [m|a],1743104.0,1873792.0,312320.0,3929216.0,2186112.0,2055424.0
76383, [m|a],752000.0,760064.0,1026048.0,2538112.0,1786112.0,1778048.0
76383, [m|a],1540096.0,1170048.0,409984.0,3120128.0,1580032.0,1950080.0
76383, [m|a],797952.0,322048.0,588032.0,1708032.0,910080.0,1385984.0
76383, [m|a],230016.0,40064.0,1000064.0,1270144.0,1040128.0,1230080.0
76383, [m|a],300032.0,1520128.0,1850112.0,3670272.0,3370240.0,2150144.0
76383, [m|a],460032.0,759936.0,260096.0,1480064.0,1020032.0,720128.0
76383, [m|a],1344000.0,160256.0,2162048.0,3666304.0,2322304.0,3506048.0
76383, [m|a],740096.0,1200128.0,7080320.0,9020544.0,8280448.0,7820416.0
76383, [m|a],1510016.0,1870080.0,1000064.0,4380160.0,2870144.0,2510080.0
76383, [m|a],1170048.0,742016.0,610048.0,2522112.0,1352064.0,1780096.0
76383, [m|a],960768.0,1441280.0,880512.0,3282560.0,2321792.0,1841280.0
76383, [m|a],960640.0,880768.0,320256.0,2161664.0,1201024.0,1280896.0
76383, [m|a],1086976.0,176128.0,2170880.0,3433984.0,2347008.0,3257856.0
76383, [m|a],1280896.0,2161536.0,880512.0,4322944.0,3042048.0,2161408.0
76383, [m|a],2034176.0,1182080.0,4137984.0,7354240.0,5320064.0,6172160.0
76383, [m|a],1280896.0,1991552.0,720512.0,3992960.0,2712064.0,2001408.0
76383, [m|a],1008000.0,329984.0,410112.0,1748096.0,740096.0,1418112.0
76383, [m|a],1200896.0,1441024.0,160000.0,2801920.0,1601024.0,1360896.0
76383, [m|a],960640.0,2161408.0,1681280.0,4803328.0,3842688.0,2641920.0
76383, [m|a],1718784.0,1406208.0,156288.0,3281280.0,1562496.0,1875072.0
76383, [m|a],1180032.0,1400064.0,4442112.0,7022208.0,5842176.0,5622144.0
76383, [m|a],1482112.0,938112.0,279936.0,2700160.0,1218048.0,1762048.0
76383, [m|a],1373056.0,1406208.0,312576.0,3091840.0,1718784.0,1685632.0
76383, [m|a],870016.0,320128.0,889984.0,2080128.0,1210112.0,1760000.0
76383, [m|a],320000.0,1420160.0,1020032.0,2760192.0,2440192.0,1340032.0
76383, [m|a],440064.0,430080.0,2720128.0,3590272.0,3150208.0,3160192.0
76383, [m|a],648064.0,1559552.0,3039616.0,5247232.0,4599168.0,3687680.0
76383, [m|a],540032.0,659968.0,520064.0,1720064.0,1180032.0,1060096.0
76383, [m|a],1166080.0,1511936.0,312064.0,2990080.0,1824000.0,1478144.0
76383, [m|a],440064.0,40064.0,1040000.0,1520128.0,1080064.0,1480064.0
76383, [m|a],1280000.0,1915008.0,643584.0,3838592.0,2558592.0,1923584.0
76383, [m|a],870016.0,570112.0,540032.0,1980160.0,1110144.0,1410048.0
76383, [m|a],650112.0,660096.0,409984.0,1720192.0,1070080.0,1060096.0
76383, [m|a],160128.0,1640064.0,1350016.0,3150208.0,2990080.0,1510144.0
