ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
76383, [n|g],768000.0,642048.0,525952.0,1936000.0,1168000.0,1293952.0
76383, [n|g],1689984.0,1036032.0,3184000.0,5910016.0,4220032.0,4873984.0
76383, [n|g],680064.0,430080.0,620032.0,1730176.0,1050112.0,1300096.0
76383, [n|g],462080.0,312064.0,395904.0,1170048.0,707968.0,857984.0
76383, [n|g],240128.0,1610880.0,951040.0,2802048.0,2561920.0,1191168.0
76383, [n|g],450048.0,640000.0,200064.0,1290112.0,840064.0,650112.0
76383, [n|g],209920.0,340096.0,630016.0,1180032.0,970112.0,839936.0
76383, [n|g],518016.0,630016.0,230016.0,1378048.0,860032.0,748032.0
76383, [n|g],770048.0,40064.0,589952.0,1400064.0,630016.0,1360000.0
76383, [n|g],440064.0,678016.0,704000.0,1822080.0,1382016.0,1144064.0
76383, [n|g],800000.0,311936.0,206080.0,1318016.0,518016.0,1006080.0
76383, [n|g],630400.0,1760768.0,560896.0,2952064.0,2321664.0,1191296.0
76383, [n|g],980096.0,29952.0,930048.0,1940096.0,960000.0,1910144.0
76383, [n|g],321920.0,800000.0,410112.0,1532032.0,1210112.0,732032.0
76383, [n|g],910080.0,200064.0,729984.0,1840128.0,930048.0,1640064.0
76383, [n|g],440064.0,1410048.0,1400064.0,3250176.0,2810112.0,1840128.0
76383, [n|g],980096.0,440064.0,310016.0,1730176.0,750080.0,1290112.0
76383, [n|g],1020032.0,440064.0,390016.0,1850112.0,830080.0,1410048.0
76383, [n|g],430080.0,439936.0,850048.0,1720064.0,1289984.0,1280128.0
76383, [n|g],777984.0,429952.0,932096.0,2140032.0,1362048.0,1710080.0
76383, [n|g],770048.0,451968.0,312064.0,1534080.0,764032.0,1082112.0
76383, [n|g],359936.0,1080064.0,400128.0,1840128.0,1480192.0,760064.0
76383, [n|g],639872.0,1431552.0,1040640.0,3112064.0,2472192.0,1680512.0
76383, [n|g],800256.0,1431040.0,3362304.0,5593600.0,4793344.0,4162560.0
76383, [n|g],860032.0,650112.0,300032.0,1810176.0,950144.0,1160064.0
76383, [n|g],499968.0,617984.0,89984.0,1207936.0,707968.0,589952.0
76383, [n|g],430080.0,540032.0,310016.0,1280128.0,850048.0,740096.0
76383, [n|g],324352.0,564608.0,877440.0,1766400.0,1442048.0,1201792.0
76383, [n|g],569984.0,489984.0,1130112.0,2190080.0,1620096.0,1700096.0
76383, [n|g],729984.0,246016.0,528000.0,1504000.0,774016.0,1257984.0
76383, [n|g],776064.0,601984.0,156032.0,1534080.0,758016.0,932096.0
76383, [n|g],1201920.0,1997312.0,5357568.0,8556800.0,7354880.0,6559488.0
76383, [n|g],625024.0,468736.0,1406208.0,2499968.0,1874944.0,2031232.0
76383, [n|g],170240.0,1120640.0,630528.0,1921408.0,1751168.0,800768.0
76383, [n|g],240128.0,400640.0,1121024.0,1761792.0,1521664.0,1361152.0
76383, [n|g],1020032.0,1690112.0,8830464.0,11540608.0,10520576.0,9850496.0
76383, [n|g],880000.0,29952.0,740096.0,1650048.0,770048.0,1620096.0
76383, [n|g],1158016.0,155904.0,468096.0,1782016.0,624000.0,1626112.0
76383, [n|g],571520.0,1649664.0,1523456.0,3744640.0,3173120.0,2094976.0
76383, [n|g],240128.0,800512.0,640512.0,1681152.0,1441024.0,880640.0
76383, [n|g],160128.0,720512.0,560384.0,1441024.0,1280896.0,720512.0
76383, [n|g],467968.0,312064.0,624000.0,1404032.0,936064.0,1091968.0
76383, [n|g],540032.0,540032.0,650112.0,1730176.0,1190144.0,1190144.0
76383, [n|g],846080.0,776064.0,156032.0,1778176.0,932096.0,1002112.0
76383, [n|g],790016.0,210048.0,329984.0,1330048.0,540032.0,1120000.0
76383, [n|g],800512.0,1280896.0,1280896.0,3362304.0,2561792.0,2081408.0
76383, [n|g],510080.0,1404032.0,1149952.0,3064064.0,2553984.0,1660032.0
76383, [n|g],430080.0,29952.0,320000.0,780032.0,349952.0,750080.0
76383, [n|g],624000.0,779904.0,156032.0,1559936.0,935936.0,780032.0
76383, [n|g],329344.0,543872.0,497024.0,1370240.0,1040896.0,826368.0
76383, [n|g],711168.0,649344.0,2185088.0,3545600.0,2834432.0,2896256.0
76383, [n|g],241536.0,798592.0,878976.0,1919104.0,1677568.0,1120512.0
76383, [n|g],440064.0,1080064.0,300032.0,1820160.0,1380096.0,740096.0
76383, [n|g],979968.0,980096.0,200064.0,2160128.0,1180160.0,1180032.0
76383, [n|g],870144.0,209920.0,530048.0,1610112.0,739968.0,1400192.0
76383, [n|g],649984.0,330112.0,710016.0,1690112.0,1040128.0,1360000.0
76383, [n|g],641536.0,240128.0,320256.0,1201920.0,560384.0,961792.0
76383, [n|g],860032.0,1310080.0,1370112.0,3540224.0,2680192.0,2230144.0
76383, [n|g],560000.0,80000.0,780160.0,1420160.0,860160.0,1340160.0
76383, [n|g],540032.0,690048.0,310016.0,1540096.0,1000064.0,850048.0
76383, [n|g],645504.0,802560.0,876800.0,2324864.0,1679360.0,1522304.0
76383, [n|g],720512.0,884096.0,1284480.0,2889088.0,2168576.0,2004992.0
76383, [n|g],760064.0,40064.0,950016.0,1750144.0,990080.0,1710080.0
76383, [n|g],395904.0,872576.0,1684224.0,2952704.0,2556800.0,2080128.0
76383, [n|g],721664.0,718208.0,1122304.0,2562176.0,1840512.0,1843968.0
76383, [n|g],400384.0,718336.0,1678080.0,2796800.0,2396416.0,2078464.0
76383, [n|g],953472.0,886144.0,724480.0,2564096.0,1610624.0,1677952.0
76383, [n|g],730112.0,1400064.0,4100224.0,6230400.0,5500288.0,4830336.0
76383, [n|g],477568.0,1037184.0,641792.0,2156544.0,1678976.0,1119360.0
76383, [n|g],1539968.0,1510016.0,3626240.0,6676224.0,5136256.0,5166208.0
76383, [n|g],702080.0,382080.0,285952.0,1370112.0,668032.0,988032.0
76383, [n|g],1110784.0,1601664.0,320256.0,3032704.0,1921920.0,1431040.0
76383, [n|g],688000.0,156032.0,482048.0,1326080.0,638080.0,1170048.0
76383, [n|g],245888.0,240896.0,872320.0,1359104.0,1113216.0,1118208.0
76383, [n|g],1520512.0,1275136.0,553472.0,3349120.0,1828608.0,2073984.0
76383, [n|g],980096.0,520064.0,870016.0,2370176.0,1390080.0,1850112.0
76383, [n|g],550016.0,429952.0,510080.0,1490048.0,940032.0,1060096.0
76383, [n|g],940032.0,440064.0,400000.0,1780096.0,840064.0,1340032.0
76383, [n|g],640000.0,1080064.0,150016.0,1870080.0,1230080.0,790016.0
76383, [n|g],320128.0,875520.0,1122560.0,2318208.0,1998080.0,1442688.0
76383, [n|g],656000.0,2026112.0,8758144.0,11440256.0,10784256.0,9414144.0
76383, [n|g],700032.0,139904.0,420096.0,1260032.0,560000.0,1120128.0
76383, [n|g],760064.0,460032.0,270080.0,1490176.0,730112.0,1030144.0
76383, [n|g],649984.0,29952.0,710144.0,1390080.0,740096.0,1360128.0
76383, [n|g],720512.0,1921280.0,160128.0,2801920.0,2081408.0,880640.0
76383, [n|g],1142016.0,1474048.0,1280877568.0,1283493632.0,1282351616.0,1282019584.0
76383, [n|g],776064.0,311936.0,562048.0,1650048.0,873984.0,1338112.0
76383, [n|g],760064.0,429952.0,200064.0,1390080.0,630016.0,960128.0
76383, [n|g],640000.0,530048.0,320000.0,1490048.0,850048.0,960000.0
76383, [n|g],670080.0,430080.0,269952.0,1370112.0,700032.0,940032.0
76383, [n|g],528128.0,1153152.0,520576.0,2201856.0,1673728.0,1048704.0
76383, [n|g],940160.0,880000.0,400000.0,2220160.0,1280000.0,1340160.0
76383, [n|g],560384.0,1831552.0,560512.0,2952448.0,2392064.0,1120896.0
76383, [n|g],813952.0,156032.0,678016.0,1648000.0,834048.0,1491968.0
76383, [n|g],1020032.0,370048.0,1050112.0,2440192.0,1420160.0,2070144.0
76383, [n|g],880640.0,390400.0,410240.0,1681280.0,800640.0,1290880.0
76383, [n|g],720384.0,1601152.0,160128.0,2481664.0,1761280.0,880512.0
76383, [n|g],480256.0,240256.0,560384.0,1280896.0,800640.0,1040640.0
76383, [n|g],640384.0,1040256.0,560896.0,2241536.0,1601152.0,1201280.0
76383, [n|g],320128.0,2011008.0,1361280.0,3692416.0,3372288.0,1681408.0
76383, [n|g],1010048.0,551936.0,200064.0,1762048.0,752000.0,1210112.0
76383, [n|g],790016.0,40064.0,409984.0,1240064.0,450048.0,1200000.0
76383, [n|g],720000.0,1681152.0,720512.0,3121664.0,2401664.0,1440512.0
76383, [n|g],636032.0,488064.0,592000.0,1716096.0,1080064.0,1228032.0
76383, [n|g],790528.0,1120768.0,570496.0,2481792.0,1691264.0,1361024.0
76383, [n|g],720512.0,1921792.0,240256.0,2882560.0,2162048.0,960768.0
76383, [n|g],550016.0,326016.0,490112.0,1366144.0,816128.0,1040128.0
76383, [n|g],800512.0,1441024.0,320256.0,2561792.0,1761280.0,1120768.0
76383, [n|g],640384.0,1841408.0,160128.0,2641920.0,2001536.0,800512.0
76383, [n|g],980096.0,350080.0,199936.0,1530112.0,550016.0,1180032.0
76383, [n|g],640256.0,1280768.0,160256.0,2081280.0,1441024.0,800512.0
76383, [n|g],430080.0,39936.0,910080.0,1380096.0,950016.0,1340160.0
76383, [n|g],579968.0,30080.0,720000.0,1330048.0,750080.0,1299968.0
76383, [n|g],730112.0,410112.0,1110016.0,2250240.0,1520128.0,1840128.0
76383, [n|g],659968.0,39936.0,670080.0,1369984.0,710016.0,1330048.0
76383, [n|g],420096.0,1320064.0,1550080.0,3290240.0,2870144.0,1970176.0
76383, [n|g],649984.0,329984.0,900096.0,1880064.0,1230080.0,1550080.0
76383, [n|g],529920.0,320000.0,420096.0,1270016.0,740096.0,950016.0
76383, [n|g],649984.0,340096.0,610048.0,1600128.0,950144.0,1260032.0
76383, [n|g],372096.0,160128.0,845952.0,1378176.0,1006080.0,1218048.0
76383, [n|g],780032.0,20096.0,749952.0,1550080.0,770048.0,1529984.0
76383, [n|g],721920.0,1266176.0,624000.0,2612096.0,1890176.0,1345920.0
76383, [n|g],540032.0,551936.0,89984.0,1181952.0,641920.0,630016.0
76383, [n|g],728064.0,541952.0,200064.0,1470080.0,742016.0,928128.0
76383, [n|g],880512.0,1691136.0,310400.0,2882048.0,2001536.0,1190912.0
76383, [n|g],870016.0,1040128.0,1000064.0,2910208.0,2040192.0,1870080.0
76383, [n|g],239744.0,1281408.0,1120768.0,2641920.0,2402176.0,1360512.0
76383, [n|g],570112.0,1230080.0,5190272.0,6990464.0,6420352.0,5760384.0
76383, [n|g],589952.0,352000.0,376064.0,1318016.0,728064.0,966016.0
76383, [n|g],763904.0,540032.0,200064.0,1504000.0,740096.0,963968.0
76383, [n|g],330112.0,1240064.0,3530112.0,5100288.0,4770176.0,3860224.0
76383, [n|g],824064.0,611968.0,311936.0,1747968.0,923904.0,1136000.0
76383, [n|g],467968.0,312064.0,467968.0,1248000.0,780032.0,935936.0
76383, [n|g],624000.0,156032.0,467968.0,1248000.0,624000.0,1091968.0
76383, [n|g],624000.0,311936.0,467968.0,1403904.0,779904.0,1091968.0
76383, [n|g],560768.0,240640.0,400000.0,1201408.0,640640.0,960768.0
76383, [n|g],702080.0,1208064.0,1121920.0,3032064.0,2329984.0,1824000.0
76383, [n|g],429952.0,560000.0,630144.0,1620096.0,1190144.0,1060096.0
76383, [n|g],519936.0,649984.0,420096.0,1590016.0,1070080.0,940032.0
76383, [n|g],240128.0,320256.0,320256.0,880640.0,640512.0,560384.0
76383, [n|g],736000.0,155904.0,936064.0,1827968.0,1091968.0,1672064.0
76383, [n|g],559872.0,410368.0,320128.0,1290368.0,730496.0,880000.0
76383, [n|g],400768.0,960256.0,1200896.0,2561920.0,2161152.0,1601664.0
76383, [n|g],707968.0,742016.0,130048.0,1580032.0,872064.0,838016.0
76383, [n|g],710016.0,924032.0,230016.0,1864064.0,1154048.0,940032.0
76383, [n|g],669952.0,780032.0,1130112.0,2580096.0,1910144.0,1800064.0
76383, [n|g],658048.0,462080.0,311936.0,1432064.0,774016.0,969984.0
76383, [n|g],605952.0,516096.0,578048.0,1700096.0,1094144.0,1184000.0
76383, [n|g],550016.0,880128.0,429952.0,1860096.0,1310080.0,979968.0
76383, [n|g],1010176.0,650112.0,199936.0,1860224.0,850048.0,1210112.0
76383, [n|g],552064.0,658048.0,492032.0,1702144.0,1150080.0,1044096.0
76383, [n|g],770048.0,155904.0,568064.0,1494016.0,723968.0,1338112.0
76383, [n|g],792064.0,481920.0,352000.0,1625984.0,833920.0,1144064.0
76383, [n|g],938112.0,430080.0,491904.0,1860096.0,921984.0,1430016.0
76383, [n|g],649984.0,429952.0,210048.0,1289984.0,640000.0,860032.0
76383, [n|g],440064.0,312064.0,480000.0,1232128.0,792064.0,920064.0
76383, [n|g],400256.0,320384.0,720896.0,1441536.0,1041280.0,1121152.0
76383, [n|g],880896.0,1681024.0,159744.0,2721664.0,1840768.0,1040640.0
76383, [n|g],569984.0,311936.0,430080.0,1312000.0,742016.0,1000064.0
76383, [n|g],320000.0,499968.0,690048.0,1510016.0,1190016.0,1010048.0
76383, [n|g],1244032.0,156032.0,477952.0,1878016.0,633984.0,1721984.0
76383, [n|g],722048.0,446080.0,352000.0,1520128.0,798080.0,1074048.0
76383, [n|g],640000.0,311936.0,280064.0,1232000.0,592000.0,920064.0
76383, [n|g],540032.0,589952.0,730112.0,1860096.0,1320064.0,1270144.0
76383, [n|g],900096.0,1190016.0,910080.0,3000192.0,2100096.0,1810176.0
76383, [n|g],793984.0,919936.0,60032.0,1773952.0,979968.0,854016.0
76383, [n|g],809984.0,312064.0,633984.0,1756032.0,946048.0,1443968.0
76383, [n|g],652032.0,557952.0,185984.0,1395968.0,743936.0,838016.0
76383, [n|g],720512.0,1690752.0,400512.0,2811776.0,2091264.0,1121024.0
76383, [n|g],870144.0,40064.0,429952.0,1340160.0,470016.0,1300096.0
76383, [n|g],467968.0,492032.0,546048.0,1506048.0,1038080.0,1014016.0
76383, [n|g],826112.0,436096.0,311936.0,1574144.0,748032.0,1138048.0
76383, [n|g],660096.0,670080.0,409984.0,1740160.0,1080064.0,1070080.0
76383, [n|g],540032.0,439936.0,430080.0,1410048.0,870016.0,970112.0
76383, [n|g],210048.0,1667968.0,2286080.0,4164096.0,3954048.0,2496128.0
76383, [n|g],320128.0,320000.0,1049984.0,1690112.0,1369984.0,1370112.0
76383, [n|g],825984.0,838016.0,166016.0,1830016.0,1004032.0,992000.0
76383, [n|g],659968.0,440064.0,430080.0,1530112.0,870144.0,1090048.0
76383, [n|g],900096.0,329984.0,630016.0,1860096.0,960000.0,1530112.0
76383, [n|g],678016.0,567936.0,156032.0,1401984.0,723968.0,834048.0
76383, [n|g],800128.0,432000.0,249984.0,1482112.0,681984.0,1050112.0
76383, [n|g],659968.0,220032.0,510080.0,1390080.0,730112.0,1170048.0
76383, [n|g],889984.0,439936.0,440064.0,1769984.0,880000.0,1330048.0
76383, [n|g],870144.0,1780096.0,1300096.0,3950336.0,3080192.0,2170240.0
76383, [n|g],840064.0,429952.0,580096.0,1850112.0,1010048.0,1420160.0
76383, [n|g],812032.0,994048.0,176000.0,1982080.0,1170048.0,988032.0
76383, [n|g],672000.0,345984.0,312064.0,1330048.0,658048.0,984064.0
76383, [n|g],649984.0,40064.0,1000064.0,1690112.0,1040128.0,1650048.0
76383, [n|g],1090048.0,30080.0,310016.0,1430144.0,340096.0,1400064.0
76383, [n|g],640512.0,1520512.0,560896.0,2721920.0,2081408.0,1201408.0
76383, [n|g],840064.0,1190144.0,1200000.0,3230208.0,2390144.0,2040064.0
76383, [n|g],540032.0,1400192.0,1430016.0,3370240.0,2830208.0,1970048.0
76383, [n|g],662016.0,40064.0,720000.0,1422080.0,760064.0,1382016.0
76383, [n|g],680064.0,310016.0,499968.0,1490048.0,809984.0,1180032.0
76383, [n|g],540032.0,860032.0,210048.0,1610112.0,1070080.0,750080.0
76383, [n|g],525952.0,848000.0,156032.0,1529984.0,1004032.0,681984.0
76383, [n|g],672000.0,312064.0,956032.0,1940096.0,1268096.0,1628032.0
76383, [n|g],480256.0,1130880.0,560512.0,2171648.0,1691392.0,1040768.0
76383, [n|g],1200768.0,559872.0,240768.0,2001408.0,800640.0,1441536.0
76383, [n|g],600064.0,1194112.0,155904.0,1950080.0,1350016.0,755968.0
82889, [n|g],780032.0,779904.0,1404032.0,2963968.0,2183936.0,2184064.0
82889, [n|g],936064.0,780032.0,467968.0,2184064.0,1248000.0,1404032.0
82889, [n|g],780032.0,936064.0,2651904.0,4368000.0,3587968.0,3431936.0
82889, [n|g],780032.0,780032.0,7020288.0,8580352.0,7800320.0,7800320.0
82889, [n|g],780032.0,935936.0,2028032.0,3744000.0,2963968.0,2808064.0
82889, [n|g],780032.0,936064.0,935936.0,2652032.0,1872000.0,1715968.0
82889, [n|g],312064.0,935936.0,467968.0,1715968.0,1403904.0,780032.0
82889, [n|g],311936.0,936064.0,1248000.0,2496000.0,2184064.0,1559936.0
82889, [n|g],936064.0,780032.0,155904.0,1872000.0,935936.0,1091968.0
82889, [n|g],819968.0,809984.0,312064.0,1942016.0,1122048.0,1132032.0
82889, [n|g],780032.0,936064.0,1403904.0,3120000.0,2339968.0,2183936.0
82889, [n|g],779904.0,1091968.0,468096.0,2339968.0,1560064.0,1248000.0
82889, [n|g],936064.0,780032.0,1248000.0,2964096.0,2028032.0,2184064.0
82889, [n|g],936064.0,936064.0,311936.0,2184064.0,1248000.0,1248000.0
82889, [n|g],780032.0,1091968.0,1248000.0,3120000.0,2339968.0,2028032.0
82889, [n|g],936064.0,936064.0,1091968.0,2964096.0,2028032.0,2028032.0
82889, [n|g],1091968.0,780032.0,624000.0,2496000.0,1404032.0,1715968.0
82889, [n|g],780032.0,935936.0,7175808.0,8891776.0,8111744.0,7955840.0
82889, [n|g],155904.0,780032.0,2184064.0,3120000.0,2964096.0,2339968.0
82889, [n|g],880000.0,960000.0,80000.0,1920000.0,1040000.0,960000.0
82889, [n|g],780032.0,936064.0,2496000.0,4212096.0,3432064.0,3276032.0
82889, [n|g],780032.0,936064.0,779904.0,2496000.0,1715968.0,1559936.0
82889, [n|g],1040128.0,480128.0,400000.0,1920256.0,880128.0,1440128.0
82889, [n|g],935936.0,935936.0,6864128.0,8736000.0,7800064.0,7800064.0
82889, [n|g],801920.0,819968.0,156032.0,1777920.0,976000.0,957952.0
82889, [n|g],780032.0,1091968.0,156032.0,2028032.0,1248000.0,936064.0
82889, [n|g],624000.0,1091968.0,156032.0,1872000.0,1248000.0,780032.0
82889, [n|g],936064.0,936064.0,467968.0,2340096.0,1404032.0,1404032.0
82889, [n|g],956032.0,1174016.0,9984.0,2140032.0,1184000.0,966016.0
82889, [n|g],936064.0,935936.0,156032.0,2028032.0,1091968.0,1092096.0
82889, [n|g],780032.0,780032.0,936064.0,2496128.0,1716096.0,1716096.0
82889, [n|g],935936.0,936064.0,1091968.0,2963968.0,2028032.0,2027904.0
82889, [n|g],780032.0,1092096.0,624000.0,2496128.0,1716096.0,1404032.0
82889, [n|g],1036032.0,830080.0,10683008.0,12549120.0,11513088.0,11719040.0
82889, [n|g],936064.0,935936.0,1248000.0,3120000.0,2183936.0,2184064.0
82889, [n|g],780032.0,779904.0,780032.0,2339968.0,1559936.0,1560064.0
82889, [n|g],936064.0,780032.0,2183936.0,3900032.0,2963968.0,3120000.0
82889, [n|g],624128.0,780032.0,311936.0,1716096.0,1091968.0,936064.0
82889, [n|g],880128.0,880128.0,80000.0,1840256.0,960128.0,960128.0
82889, [n|g],936064.0,780032.0,311936.0,2028032.0,1091968.0,1248000.0
82889, [n|g],779904.0,1091968.0,1560064.0,3431936.0,2652032.0,2339968.0
82889, [n|g],467968.0,935936.0,156032.0,1559936.0,1091968.0,624000.0
82889, [n|g],780032.0,1091968.0,312064.0,2184064.0,1404032.0,1092096.0
82889, [n|g],935936.0,780032.0,1248000.0,2963968.0,2028032.0,2183936.0
82889, [n|g],780032.0,780032.0,1091968.0,2652032.0,1872000.0,1872000.0
82889, [n|g],779904.0,1091968.0,624128.0,2496000.0,1716096.0,1404032.0
82889, [n|g],780032.0,780032.0,2028032.0,3588096.0,2808064.0,2808064.0
82889, [n|g],156032.0,1102080.0,1248000.0,2506112.0,2350080.0,1404032.0
82889, [n|g],935936.0,779904.0,936064.0,2651904.0,1715968.0,1872000.0
82889, [n|g],935936.0,780032.0,312064.0,2028032.0,1092096.0,1248000.0
82889, [n|g],935936.0,1091968.0,156032.0,2183936.0,1248000.0,1091968.0
82889, [n|g],780032.0,780032.0,467968.0,2028032.0,1248000.0,1248000.0
82889, [n|g],780032.0,1248000.0,624000.0,2652032.0,1872000.0,1404032.0
82889, [n|g],779904.0,935936.0,312064.0,2027904.0,1248000.0,1091968.0
82889, [n|g],155904.0,935936.0,1560064.0,2651904.0,2496000.0,1715968.0
