ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
76383, [o|m],230144.0,800640.0,1350912.0,2381696.0,2151552.0,1581056.0
76383, [o|m],780032.0,780032.0,156032.0,1716096.0,936064.0,936064.0
76383, [o|m],876032.0,848000.0,156032.0,1880064.0,1004032.0,1032064.0
76383, [o|m],468096.0,624000.0,311936.0,1404032.0,935936.0,780032.0
76383, [o|m],1523328.0,1833216.0,321280.0,3677824.0,2154496.0,1844608.0
76383, [o|m],759936.0,588032.0,11180288.0,12528256.0,11768320.0,11940224.0
76383, [o|m],480128.0,430080.0,369920.0,1280128.0,800000.0,850048.0
76383, [o|m],230016.0,320128.0,2160128.0,2710272.0,2480256.0,2390144.0
76383, [o|m],624896.0,1459584.0,780800.0,2865280.0,2240384.0,1405696.0
76383, [o|m],1421056.0,940416.0,156672.0,2518144.0,1097088.0,1577728.0
76383, [o|m],1133440.0,1310464.0,312448.0,2756352.0,1622912.0,1445888.0
76383, [o|m],975872.0,961792.0,151296.0,2088960.0,1113088.0,1127168.0
76383, [o|m],600064.0,40064.0,2410112.0,3050240.0,2450176.0,3010176.0
76383, [o|m],989952.0,800128.0,300032.0,2090112.0,1100160.0,1289984.0
76383, [o|m],469248.0,1418752.0,1250048.0,3138048.0,2668800.0,1719296.0
76383, [o|m],860032.0,419968.0,1510144.0,2790144.0,1930112.0,2370176.0
76383, [o|m],470016.0,780032.0,620032.0,1870080.0,1400064.0,1090048.0
76383, [o|m],870016.0,470016.0,1410048.0,2750080.0,1880064.0,2280064.0
76383, [o|m],240256.0,640384.0,1280896.0,2161536.0,1921280.0,1521152.0
76383, [o|m],220032.0,1340032.0,400000.0,1960064.0,1740032.0,620032.0
76383, [o|m],209920.0,1006080.0,1130112.0,2346112.0,2136192.0,1340032.0
76383, [o|m],649984.0,550016.0,2150144.0,3350144.0,2700160.0,2800128.0
76383, [o|m],649984.0,349952.0,1610112.0,2610048.0,1960064.0,2260096.0
76383, [o|m],467968.0,1248000.0,624000.0,2339968.0,1872000.0,1091968.0
76383, [o|m],409984.0,990080.0,790016.0,2190080.0,1780096.0,1200000.0
76383, [o|m],720128.0,2000000.0,1400064.0,4120192.0,3400064.0,2120192.0
76383, [o|m],320128.0,1270784.0,1451136.0,3042048.0,2721920.0,1771264.0
76383, [o|m],759936.0,440064.0,300032.0,1500032.0,740096.0,1059968.0
76383, [o|m],989952.0,220032.0,40064.0,1250048.0,260096.0,1030016.0
76383, [o|m],739968.0,430080.0,310016.0,1480064.0,740096.0,1049984.0
76383, [o|m],1720832.0,813568.0,156288.0,2690688.0,969856.0,1877120.0
76383, [o|m],1200896.0,400256.0,1511040.0,3112192.0,1911296.0,2711936.0
76383, [o|m],860032.0,600064.0,990080.0,2450176.0,1590144.0,1850112.0
76383, [o|m],770048.0,439936.0,300032.0,1510016.0,739968.0,1070080.0
76383, [o|m],800512.0,950784.0,1130752.0,2882048.0,2081536.0,1931264.0
76383, [o|m],530048.0,350080.0,989952.0,1870080.0,1340032.0,1520000.0
76383, [o|m],672000.0,1468032.0,176000.0,2316032.0,1644032.0,848000.0
76383, [o|m],430080.0,980096.0,199936.0,1610112.0,1180032.0,630016.0
76383, [o|m],329984.0,1080064.0,600064.0,2010112.0,1680128.0,930048.0
76383, [o|m],155776.0,1563136.0,1093632.0,2812544.0,2656768.0,1249408.0
76383, [o|m],1372160.0,1618304.0,1718784.0,4709248.0,3337088.0,3090944.0
76383, [o|m],750080.0,730112.0,29952.0,1510144.0,760064.0,780032.0
76383, [o|m],779648.0,937472.0,470400.0,2187520.0,1407872.0,1250048.0
76383, [o|m],1000064.0,712064.0,774016.0,2486144.0,1486080.0,1774080.0
76383, [o|m],462080.0,1160064.0,10076032.0,11698176.0,11236096.0,10538112.0
76383, [o|m],1276288.0,1030400.0,10240.0,2316928.0,1040640.0,1286528.0
76383, [o|m],659968.0,439936.0,800128.0,1900032.0,1240064.0,1460096.0
76383, [o|m],1126144.0,768000.0,935936.0,2830080.0,1703936.0,2062080.0
76383, [o|m],624000.0,624000.0,468096.0,1716096.0,1092096.0,1092096.0
76383, [o|m],240256.0,1280640.0,4322176.0,5843072.0,5602816.0,4562432.0
76383, [o|m],937472.0,963200.0,439424.0,2340096.0,1402624.0,1376896.0
76383, [o|m],934016.0,739968.0,50048.0,1724032.0,790016.0,984064.0
