ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
58036, [o|n],841344.0,1230976.0,6425472.0,8497792.0,7656448.0,7266816.0
58036, [o|n],971136.0,1218048.0,1523584.0,3712768.0,2741632.0,2494720.0
58036, [o|n],1110528.0,1293184.0,9678336.0,12082048.0,10971520.0,10788864.0
58036, [o|n],801152.0,771840.0,1016448.0,2589440.0,1788288.0,1817600.0
58036, [o|n],1025408.0,948096.0,1043328.0,3016832.0,1991424.0,2068736.0
58036, [o|n],598016.0,917888.0,1262080.0,2777984.0,2179968.0,1860096.0
58036, [o|n],401536.0,1108480.0,1481728.0,2991744.0,2590208.0,1883264.0
58036, [o|n],781696.0,937728.0,1093248.0,2812672.0,2030976.0,1874944.0
58036, [o|n],613120.0,889728.0,1103616.0,2606464.0,1993344.0,1716736.0
58036, [o|n],155520.0,1406848.0,1562624.0,3124992.0,2969472.0,1718144.0
58036, [o|n],240768.0,1020928.0,1691008.0,2952704.0,2711936.0,1931776.0
58036, [o|n],90240.0,1421312.0,1681920.0,3193472.0,3103232.0,1772160.0
58036, [o|n],598144.0,807808.0,987264.0,2393216.0,1795072.0,1585408.0
58036, [o|n],780672.0,781184.0,1094400.0,2656256.0,1875584.0,1875072.0
58036, [o|n],699776.0,1242368.0,1144448.0,3086592.0,2386816.0,1844224.0
58036, [o|n],937088.0,1406336.0,1406848.0,3750272.0,2813184.0,2343936.0
58036, [o|n],797952.0,634624.0,1124096.0,2556672.0,1758720.0,1922048.0
58036, [o|n],739840.0,750720.0,949248.0,2439808.0,1699968.0,1689088.0
58036, [o|n],540288.0,570496.0,1130752.0,2241536.0,1701248.0,1671040.0
58036, [o|n],100096.0,943104.0,1561088.0,2604288.0,2504192.0,1661184.0
58036, [o|n],660352.0,976384.0,1414912.0,3051648.0,2391296.0,2075264.0
58036, [o|n],840704.0,1041280.0,1050624.0,2932608.0,2091904.0,1891328.0
58036, [o|n],830848.0,1280768.0,1121152.0,3232768.0,2401920.0,1952000.0
58036, [o|n],809344.0,156288.0,1280000.0,2245632.0,1436288.0,2089344.0
58036, [o|n],9984.0,962048.0,2017152.0,2989184.0,2979200.0,2027136.0
58036, [o|n],720000.0,946048.0,2051328.0,3717376.0,2997376.0,2771328.0
58036, [o|n],686464.0,687232.0,1012864.0,2386560.0,1700096.0,1699328.0
58036, [o|n],582784.0,1284096.0,1307392.0,3174272.0,2591488.0,1890176.0
58036, [o|n],790400.0,1171072.0,1220864.0,3182336.0,2391936.0,2011264.0
58036, [o|n],773120.0,691200.0,1198464.0,2662784.0,1889664.0,1971584.0
58036, [o|n],1326976.0,1076736.0,415232.0,2818944.0,1491968.0,1742208.0
58036, [o|n],871936.0,1050496.0,1653504.0,3575936.0,2704000.0,2525440.0
58036, [o|n],625408.0,625152.0,1093632.0,2344192.0,1718784.0,1719040.0
58036, [o|n],500096.0,773760.0,1221248.0,2495104.0,1995008.0,1721344.0
58036, [o|n],295936.0,1070848.0,1625216.0,2992000.0,2696064.0,1921152.0
58036, [o|n],159872.0,801664.0,1914368.0,2875904.0,2716032.0,2074240.0
58036, [o|n],480256.0,700544.0,1293056.0,2473856.0,1993600.0,1773312.0
58036, [o|n],624768.0,1562880.0,11875584.0,14063232.0,13438464.0,12500352.0
58036, [o|n],390272.0,1174144.0,1812096.0,3376512.0,2986240.0,2202368.0
58036, [o|n],595968.0,861312.0,1041792.0,2499072.0,1903104.0,1637760.0
58036, [o|n],799232.0,664192.0,883968.0,2347392.0,1548160.0,1683200.0
58036, [o|n],881408.0,710400.0,1284864.0,2876672.0,1995264.0,2166272.0
58036, [o|n],525568.0,727296.0,1064576.0,2317440.0,1791872.0,1590144.0
58036, [o|n],634240.0,576000.0,1206144.0,2416384.0,1782144.0,1840384.0
