ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
76383, [a|l],439936.0,1370112.0,1350144.0,3160192.0,2720256.0,1790080.0
76383, [a|l],1530112.0,670080.0,29952.0,2230144.0,700032.0,1560064.0
76383, [a|l],729984.0,690048.0,260096.0,1680128.0,950144.0,990080.0
76383, [a|l],842112.0,648064.0,155904.0,1646080.0,803968.0,998016.0
76383, [a|l],220032.0,1020032.0,1740032.0,2980096.0,2760064.0,1960064.0
76383, [a|l],155904.0,381952.0,864128.0,1401984.0,1246080.0,1020032.0
76383, [a|l],312064.0,780032.0,779904.0,1872000.0,1559936.0,1091968.0
76383, [a|l],1080064.0,830080.0,800000.0,2710144.0,1630080.0,1880064.0
76383, [a|l],400000.0,720000.0,510080.0,1630080.0,1230080.0,910080.0
76383, [a|l],1520640.0,541056.0,19968.0,2081664.0,561024.0,1540608.0
76383, [a|l],1325952.0,1298048.0,532096.0,3156096.0,1830144.0,1858048.0
76383, [a|l],210048.0,800128.0,950016.0,1960192.0,1750144.0,1160064.0
76383, [a|l],39936.0,649984.0,830080.0,1520000.0,1480064.0,870016.0
76383, [a|l],400384.0,470912.0,480256.0,1351552.0,951168.0,880640.0
76383, [a|l],960768.0,880640.0,800512.0,2641920.0,1681152.0,1761280.0
76383, [a|l],40064.0,739968.0,770048.0,1550080.0,1510016.0,810112.0
76383, [a|l],678016.0,1561984.0,1248000.0,3488000.0,2809984.0,1926016.0
76383, [a|l],1278464.0,1040640.0,798080.0,3117184.0,1838720.0,2076544.0
76383, [a|l],1601920.0,964864.0,312704.0,2879488.0,1277568.0,1914624.0
76383, [a|l],240000.0,1150080.0,3320192.0,4710272.0,4470272.0,3560192.0
76383, [a|l],1870080.0,1230080.0,370048.0,3470208.0,1600128.0,2240128.0
76383, [a|l],1350528.0,1406336.0,156160.0,2913024.0,1562496.0,1506688.0
76383, [a|l],430080.0,440064.0,749952.0,1620096.0,1190016.0,1180032.0
76383, [a|l],49920.0,688000.0,1370112.0,2108032.0,2058112.0,1420032.0
76383, [a|l],320128.0,519936.0,1400064.0,2240128.0,1920000.0,1720192.0
76383, [a|l],39936.0,1740032.0,1200128.0,2980096.0,2940160.0,1240064.0
76383, [a|l],1273088.0,518016.0,1766016.0,3557120.0,2284032.0,3039104.0
76383, [a|l],1120768.0,880896.0,560640.0,2562304.0,1441536.0,1681408.0
76383, [a|l],550016.0,1370112.0,1340032.0,3260160.0,2710144.0,1890048.0
76383, [a|l],39936.0,329984.0,820096.0,1190016.0,1150080.0,860032.0
76383, [a|l],1328000.0,707968.0,3306112.0,5342080.0,4014080.0,4634112.0
76383, [a|l],370048.0,770048.0,1690112.0,2830208.0,2460160.0,2060160.0
76383, [a|l],210048.0,160000.0,820096.0,1190144.0,980096.0,1030144.0
76383, [a|l],360064.0,740096.0,189952.0,1290112.0,930048.0,550016.0
