ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
97562, [o|o],875648.0,940672.0,695424.0,2511744.0,1636096.0,1571072.0
97562, [o|o],847872.0,998656.0,1009408.0,2855936.0,2008064.0,1857280.0
97562, [o|o],759168.0,590592.0,700800.0,2050560.0,1291392.0,1459968.0
97562, [o|o],625664.0,730624.0,800768.0,2157056.0,1531392.0,1426432.0
97562, [o|o],760320.0,570624.0,910336.0,2241280.0,1480960.0,1670656.0
97562, [o|o],820736.0,890752.0,790656.0,2502144.0,1681408.0,1611392.0
97562, [o|o],577920.0,1422080.0,1247232.0,3247232.0,2669312.0,1825152.0
97562, [o|o],2226432.0,990592.0,830592.0,4047616.0,1821184.0,3057024.0
97562, [o|o],710528.0,1078400.0,969472.0,2758400.0,2047872.0,1680000.0
97562, [o|o],545280.0,755456.0,1150848.0,2451584.0,1906304.0,1696128.0
97562, [o|o],534016.0,625152.0,846464.0,2005632.0,1471616.0,1380480.0
97562, [o|o],880896.0,1553024.0,6374912.0,8808832.0,7927936.0,7255808.0
97562, [o|o],611968.0,1005440.0,707456.0,2324864.0,1712896.0,1319424.0
97562, [o|o],770304.0,974592.0,770176.0,2515072.0,1744768.0,1540480.0
97562, [o|o],785408.0,616064.0,903424.0,2304896.0,1519488.0,1688832.0
97562, [o|o],310144.0,690432.0,1276288.0,2276864.0,1966720.0,1586432.0
97562, [o|o],725376.0,805632.0,560384.0,2091392.0,1366016.0,1285760.0
97562, [o|o],581120.0,770560.0,990592.0,2342272.0,1761152.0,1571712.0
97562, [o|o],926336.0,893568.0,933888.0,2753792.0,1827456.0,1860224.0
97562, [o|o],240128.0,560512.0,990848.0,1791488.0,1551360.0,1230976.0
97562, [o|o],920832.0,1007360.0,800128.0,2728320.0,1807488.0,1720960.0
97562, [o|o],1020672.0,805504.0,800640.0,2626816.0,1606144.0,1821312.0
97562, [o|o],2084096.0,890752.0,991104.0,3965952.0,1881856.0,3075200.0
97562, [o|o],695552.0,950912.0,775552.0,2422016.0,1726464.0,1471104.0
97562, [o|o],1275776.0,1408000.0,4166400.0,6850176.0,5574400.0,5442176.0
97562, [o|o],823936.0,967936.0,832000.0,2623872.0,1799936.0,1655936.0
97562, [o|o],841472.0,920576.0,971008.0,2733056.0,1891584.0,1812480.0
97562, [o|o],580352.0,775424.0,875648.0,2231424.0,1651072.0,1456000.0
97562, [o|o],435328.0,1045760.0,1059328.0,2540416.0,2105088.0,1494656.0
97562, [o|o],1035776.0,670976.0,937216.0,2643968.0,1608192.0,1972992.0
97562, [o|o],730496.0,840576.0,915584.0,2486656.0,1756160.0,1646080.0
97562, [o|o],1034496.0,840448.0,815744.0,2690688.0,1656192.0,1850240.0
97562, [o|o],610560.0,785536.0,1024128.0,2420224.0,1809664.0,1634688.0
97562, [o|o],1143552.0,913408.0,790912.0,2847872.0,1704320.0,1934464.0
97562, [o|o],960000.0,720000.0,880000.0,2560000.0,1600000.0,1840000.0
97562, [o|o],865664.0,705408.0,1225856.0,2796928.0,1931264.0,2091520.0
97562, [o|o],537088.0,985984.0,771328.0,2294400.0,1757312.0,1308416.0
97562, [o|o],850944.0,844544.0,791936.0,2487424.0,1636480.0,1642880.0
97562, [o|o],945664.0,615424.0,925568.0,2486656.0,1540992.0,1871232.0
97562, [o|o],799360.0,995328.0,705152.0,2499840.0,1700480.0,1504512.0
97562, [o|o],780416.0,941824.0,805632.0,2527872.0,1747456.0,1586048.0
97562, [o|o],3186944.0,1339776.0,1729280.0,6256000.0,3069056.0,4916224.0
97562, [o|o],635392.0,912512.0,977408.0,2525312.0,1889920.0,1612800.0
97562, [o|o],835456.0,1020672.0,625408.0,2481536.0,1646080.0,1460864.0
97562, [o|o],440192.0,935680.0,735488.0,2111360.0,1671168.0,1175680.0
97562, [o|o],1360128.0,850688.0,748800.0,2959616.0,1599488.0,2108928.0
97562, [o|o],1010432.0,890752.0,3561344.0,5462528.0,4452096.0,4571776.0
97562, [o|o],890624.0,1131008.0,1141248.0,3162880.0,2272256.0,2031872.0
97562, [o|o],785536.0,835584.0,845568.0,2466688.0,1681152.0,1631104.0
97562, [o|o],543488.0,560640.0,1336832.0,2440960.0,1897472.0,1880320.0
97562, [o|o],690432.0,1005824.0,1150976.0,2847232.0,2156800.0,1841408.0
97562, [o|o],735616.0,815616.0,695552.0,2246784.0,1511168.0,1431168.0
97562, [o|o],870656.0,1335808.0,695552.0,2902016.0,2031360.0,1566208.0
97562, [o|o],730624.0,423552.0,1536384.0,2690560.0,1959936.0,2267008.0
97562, [o|o],555392.0,736640.0,1020672.0,2312704.0,1757312.0,1576064.0
97562, [o|o],745472.0,886784.0,810624.0,2442880.0,1697408.0,1556096.0
97562, [o|o],621184.0,603008.0,851200.0,2075392.0,1454208.0,1472384.0
97562, [o|o],653056.0,644352.0,857600.0,2155008.0,1501952.0,1510656.0
97562, [o|o],810624.0,680192.0,790144.0,2280960.0,1470336.0,1600768.0
97562, [o|o],967040.0,707840.0,890496.0,2565376.0,1598336.0,1857536.0
97562, [o|o],1041792.0,1273088.0,1066496.0,3381376.0,2339584.0,2108288.0
97562, [o|o],940416.0,850176.0,1111424.0,2902016.0,1961600.0,2051840.0
97562, [o|o],955904.0,840704.0,505344.0,2301952.0,1346048.0,1461248.0
97562, [o|o],1020672.0,840576.0,430336.0,2291584.0,1270912.0,1451008.0
