ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
58036, [o|r],505728.0,703488.0,1403264.0,2612480.0,2106752.0,1908992.0
58036, [o|r],198400.0,10112.0,800896.0,1009408.0,811008.0,999296.0
58036, [o|r],490880.0,960512.0,640640.0,2092032.0,1601152.0,1131520.0
58036, [o|r],732672.0,1353600.0,442112.0,2528384.0,1795712.0,1174784.0
58036, [o|r],100096.0,98176.0,996608.0,1194880.0,1094784.0,1096704.0
58036, [o|r],10112.0,891136.0,1472512.0,2373760.0,2363648.0,1482624.0
58036, [o|r],914688.0,990720.0,207488.0,2112896.0,1198208.0,1122176.0
58036, [o|r],1218176.0,757888.0,1231872.0,3207936.0,1989760.0,2450048.0
58036, [o|r],254464.0,142720.0,4992.0,402176.0,147712.0,259456.0
58036, [o|r],199552.0,590464.0,911744.0,1701760.0,1502208.0,1111296.0
58036, [o|r],295040.0,400512.0,1694208.0,2389760.0,2094720.0,1989248.0
58036, [o|r],1053952.0,913536.0,185856.0,2153344.0,1099392.0,1239808.0
58036, [o|r],1160448.0,960768.0,4674816.0,6796032.0,5635584.0,5835264.0
58036, [o|r],398848.0,881280.0,565888.0,1846016.0,1447168.0,964736.0
58036, [o|r],1440512.0,931712.0,270208.0,2642432.0,1201920.0,1710720.0
58036, [o|r],871040.0,801408.0,89984.0,1762432.0,891392.0,961024.0
58036, [o|r],980992.0,980864.0,921088.0,2882944.0,1901952.0,1902080.0
58036, [o|r],596096.0,780416.0,314752.0,1691264.0,1095168.0,910848.0
58036, [o|r],1020032.0,1465344.0,1620480.0,4105856.0,3085824.0,2640512.0
58036, [o|r],607232.0,4992.0,1792128.0,2404352.0,1797120.0,2399360.0
58036, [o|r],900992.0,1219712.0,75904.0,2196608.0,1295616.0,976896.0
58036, [o|r],699136.0,110336.0,888704.0,1698176.0,999040.0,1587840.0
58036, [o|r],1280768.0,560768.0,630912.0,2472448.0,1191680.0,1911680.0
58036, [o|r],699648.0,1138944.0,254720.0,2093312.0,1393664.0,954368.0
58036, [o|r],10624.0,921600.0,1255936.0,2188160.0,2177536.0,1266560.0
58036, [o|r],569856.0,861056.0,730752.0,2161664.0,1591808.0,1300608.0
58036, [o|r],981376.0,810752.0,489856.0,2281984.0,1300608.0,1471232.0
58036, [o|r],1246208.0,935168.0,1060736.0,3242112.0,1995904.0,2306944.0
58036, [o|r],900736.0,740608.0,1161088.0,2802432.0,1901696.0,2061824.0
58036, [o|r],818432.0,1103744.0,395520.0,2317696.0,1499264.0,1213952.0
58036, [o|r],691200.0,90112.0,9344.0,790656.0,99456.0,700544.0
58036, [o|r],893312.0,1117440.0,477696.0,2488448.0,1595136.0,1371008.0
58036, [o|r],1251200.0,830848.0,59904.0,2141952.0,890752.0,1311104.0
58036, [o|r],1350784.0,1211648.0,490496.0,3052928.0,1702144.0,1841280.0
58036, [o|r],99968.0,1070464.0,1231488.0,2401920.0,2301952.0,1331456.0
58036, [o|r],500096.0,280320.0,9984.0,790400.0,290304.0,510080.0
58036, [o|r],94336.0,95232.0,1207424.0,1396992.0,1302656.0,1301760.0
58036, [o|r],296192.0,997888.0,695936.0,1990016.0,1693824.0,992128.0
58036, [o|r],1250176.0,1902464.0,470400.0,3623040.0,2372864.0,1720576.0
58036, [o|r],155520.0,1562496.0,1563008.0,3281024.0,3125504.0,1718528.0
58036, [o|r],845952.0,929920.0,4343168.0,6119040.0,5273088.0,5189120.0
58036, [o|r],1109120.0,840832.0,371072.0,2321024.0,1211904.0,1480192.0
58036, [o|r],1002368.0,997760.0,597632.0,2597760.0,1595392.0,1600000.0
58036, [o|r],320896.0,480896.0,480896.0,1282688.0,961792.0,801792.0
58036, [o|r],95104.0,399104.0,406144.0,900352.0,805248.0,501248.0
58036, [o|r],600448.0,400512.0,1401728.0,2402688.0,1802240.0,2002176.0
58036, [o|r],195456.0,197376.0,1000448.0,1393280.0,1197824.0,1195904.0
58036, [o|r],918912.0,914176.0,572672.0,2405760.0,1486848.0,1491584.0
58036, [o|r],156288.0,1249536.0,781056.0,2186880.0,2030592.0,937344.0
58036, [o|r],9856.0,501632.0,1077376.0,1588864.0,1579008.0,1087232.0
58036, [o|r],1101056.0,1161088.0,430720.0,2692864.0,1591808.0,1531776.0
58036, [o|r],1081088.0,850560.0,430208.0,2361856.0,1280768.0,1511296.0
58036, [o|r],492416.0,1229824.0,1046016.0,2768256.0,2275840.0,1538432.0
58036, [o|r],99456.0,894464.0,1100544.0,2094464.0,1995008.0,1200000.0
58036, [o|r],589568.0,92800.0,4864.0,687232.0,97664.0,594432.0
58036, [o|r],100224.0,500352.0,698624.0,1299200.0,1198976.0,798848.0
58036, [o|r],796928.0,999808.0,101120.0,1897856.0,1100928.0,898048.0
58036, [o|r],190336.0,1320448.0,2073472.0,3584256.0,3393920.0,2263808.0
58036, [o|r],832896.0,1122688.0,1657600.0,3613184.0,2780288.0,2490496.0
58036, [o|r],1421312.0,851072.0,150016.0,2422400.0,1001088.0,1571328.0
58036, [o|r],767616.0,893824.0,9728.0,1671168.0,903552.0,777344.0
58036, [o|r],1101440.0,197632.0,1596928.0,2896000.0,1794560.0,2698368.0
58036, [o|r],1249792.0,937088.0,156416.0,2343296.0,1093504.0,1406208.0
58036, [o|r],1281664.0,1100928.0,1191040.0,3573632.0,2291968.0,2472704.0
58036, [o|r],1282304.0,590464.0,306688.0,2179456.0,897152.0,1588992.0
58036, [o|r],800384.0,100480.0,1891840.0,2792704.0,1992320.0,2692224.0
58036, [o|r],882560.0,971392.0,33664.0,1887616.0,1005056.0,916224.0
58036, [o|r],298624.0,589824.0,1001216.0,1889664.0,1591040.0,1299840.0
58036, [o|r],1352704.0,935680.0,366720.0,2655104.0,1302400.0,1719424.0
58036, [o|r],19584.0,600960.0,1162496.0,1783040.0,1763456.0,1182080.0
58036, [o|r],790272.0,980736.0,508672.0,2279680.0,1489408.0,1298944.0
58036, [o|r],1132800.0,1102464.0,590848.0,2826112.0,1693312.0,1723648.0
58036, [o|r],499072.0,1147648.0,540672.0,2187392.0,1688320.0,1039744.0
58036, [o|r],4992.0,1471488.0,1192448.0,2668928.0,2663936.0,1197440.0
58036, [o|r],109184.0,300416.0,1006848.0,1416448.0,1307264.0,1116032.0
58036, [o|r],300544.0,840704.0,840832.0,1982080.0,1681536.0,1141376.0
58036, [o|r],972544.0,1270656.0,982784.0,3225984.0,2253440.0,1955328.0
58036, [o|r],900736.0,1060352.0,30464.0,1991552.0,1090816.0,931200.0
58036, [o|r],485888.0,486144.0,150528.0,1122560.0,636672.0,636416.0
58036, [o|r],1360128.0,1426176.0,367872.0,3154176.0,1794048.0,1728000.0
58036, [o|r],99584.0,402432.0,996608.0,1498624.0,1399040.0,1096192.0
58036, [o|r],1201024.0,1371520.0,11429888.0,14002432.0,12801408.0,12630912.0
58036, [o|r],670592.0,800640.0,3573120.0,5044352.0,4373760.0,4243712.0
58036, [o|r],156288.0,468608.0,781056.0,1405952.0,1249664.0,937344.0
58036, [o|r],497536.0,978688.0,413952.0,1890176.0,1392640.0,911488.0
58036, [o|r],1151104.0,692992.0,4992.0,1849088.0,697984.0,1156096.0
58036, [o|r],300160.0,99584.0,991232.0,1390976.0,1090816.0,1291392.0
58036, [o|r],1031424.0,830720.0,159744.0,2021888.0,990464.0,1191168.0
58036, [o|r],95232.0,496000.0,500096.0,1091328.0,996096.0,595328.0
58036, [o|r],99712.0,782848.0,1103488.0,1986048.0,1886336.0,1203200.0
58036, [o|r],1003520.0,1014016.0,474624.0,2492160.0,1488640.0,1478144.0
58036, [o|r],1291392.0,890496.0,1201280.0,3383168.0,2091776.0,2492672.0
58036, [o|r],980608.0,620288.0,571136.0,2172032.0,1191424.0,1551744.0
58036, [o|r],1075328.0,877568.0,611456.0,2564352.0,1489024.0,1686784.0
58036, [o|r],499200.0,501120.0,1589760.0,2590080.0,2090880.0,2088960.0
58036, [o|r],10112.0,1050880.0,921344.0,1982336.0,1972224.0,931456.0
58036, [o|r],297856.0,695680.0,2291072.0,3284608.0,2986752.0,2588928.0
58036, [o|r],938112.0,1249536.0,4843904.0,7031552.0,6093440.0,5782016.0
