ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
58036, [o|u],1081600.0,760448.0,940800.0,2782848.0,1701248.0,2022400.0
58036, [o|u],600448.0,600576.0,981248.0,2182272.0,1581824.0,1581696.0
58036, [o|u],760448.0,680960.0,1601280.0,3042688.0,2282240.0,2361728.0
58036, [o|u],400000.0,810880.0,1181440.0,2392320.0,1992320.0,1581440.0
58036, [o|u],1005312.0,1230720.0,1464960.0,3700992.0,2695680.0,2470272.0
58036, [o|u],920960.0,800512.0,891008.0,2612480.0,1691520.0,1811968.0
58036, [o|u],400640.0,1051008.0,1431040.0,2882688.0,2482048.0,1831680.0
58036, [o|u],1076992.0,1099136.0,1194112.0,3370240.0,2293248.0,2271104.0
58036, [o|u],490752.0,710656.0,1180800.0,2382208.0,1891456.0,1671552.0
58036, [o|u],500608.0,1090432.0,1311488.0,2902528.0,2401920.0,1812096.0
58036, [o|u],830336.0,720768.0,861184.0,2412288.0,1581952.0,1691520.0
58036, [o|u],734592.0,1040768.0,952832.0,2728192.0,1993600.0,1687424.0
58036, [o|u],690688.0,760576.0,730752.0,2182016.0,1491328.0,1421440.0
58036, [o|u],991232.0,1531008.0,15103104.0,17625344.0,16634112.0,16094336.0
58036, [o|u],468736.0,781568.0,1093504.0,2343808.0,1875072.0,1562240.0
58036, [o|u],1229824.0,1066496.0,1126784.0,3423104.0,2193280.0,2356608.0
58036, [o|u],938112.0,937088.0,1250048.0,3125248.0,2187136.0,2188160.0
58036, [o|u],840704.0,690560.0,710656.0,2241920.0,1401216.0,1551360.0
58036, [o|u],590336.0,1090816.0,1000832.0,2681984.0,2091648.0,1591168.0
58036, [o|u],766592.0,696960.0,889984.0,2353536.0,1586944.0,1656576.0
58036, [o|u],160256.0,796288.0,2244352.0,3200896.0,3040640.0,2404608.0
58036, [o|u],824192.0,731392.0,964864.0,2520448.0,1696256.0,1789056.0
58036, [o|u],199680.0,520448.0,1461632.0,2181760.0,1982080.0,1661312.0
58036, [o|u],290816.0,730880.0,1250560.0,2272256.0,1981440.0,1541376.0
58036, [o|u],500480.0,710912.0,971136.0,2182528.0,1682048.0,1471616.0
58036, [o|u],690560.0,580992.0,910720.0,2182272.0,1491712.0,1601280.0
58036, [o|u],486144.0,800768.0,1112704.0,2399616.0,1913472.0,1598848.0
58036, [o|u],400384.0,780800.0,1100928.0,2282112.0,1881728.0,1501312.0
58036, [o|u],496128.0,618880.0,1079424.0,2194432.0,1698304.0,1575552.0
58036, [o|u],189824.0,940928.0,5805312.0,6936064.0,6746240.0,5995136.0
58036, [o|u],300032.0,891008.0,1691776.0,2882816.0,2582784.0,1991808.0
58036, [o|u],480256.0,951424.0,961920.0,2393600.0,1913344.0,1442176.0
58036, [o|u],290432.0,740608.0,1251200.0,2282240.0,1991808.0,1541632.0
58036, [o|u],397696.0,647936.0,1247744.0,2293376.0,1895680.0,1645440.0
58036, [o|u],100480.0,530432.0,1350656.0,1981568.0,1881088.0,1451136.0
58036, [o|u],621568.0,974848.0,1221888.0,2818304.0,2196736.0,1843456.0
58036, [o|u],400640.0,700800.0,1190784.0,2292224.0,1891584.0,1591424.0
58036, [o|u],400128.0,751104.0,1160704.0,2311936.0,1911808.0,1560832.0
58036, [o|u],200192.0,840192.0,841216.0,1881600.0,1681408.0,1041408.0
58036, [o|u],290304.0,1111040.0,1961984.0,3363328.0,3073024.0,2252288.0
58036, [o|u],700800.0,620800.0,870656.0,2192256.0,1491456.0,1571456.0
58036, [o|u],199936.0,1077632.0,4807808.0,6085376.0,5885440.0,5007744.0
58036, [o|u],780416.0,1091072.0,1011072.0,2882560.0,2102144.0,1791488.0
58036, [o|u],500224.0,910464.0,1181440.0,2592128.0,2091904.0,1681664.0
58036, [o|u],924800.0,785024.0,1105920.0,2815744.0,1890944.0,2030720.0
58036, [o|u],389888.0,700416.0,1091200.0,2181504.0,1791616.0,1481088.0
58036, [o|u],810752.0,770944.0,820480.0,2402176.0,1591424.0,1631232.0
58036, [o|u],319616.0,801920.0,1433344.0,2554880.0,2235264.0,1752960.0
58036, [o|u],490240.0,820736.0,771200.0,2082176.0,1591936.0,1261440.0
58036, [o|u],710656.0,940288.0,940800.0,2591744.0,1881088.0,1651456.0
58036, [o|u],299776.0,711040.0,1961856.0,2972672.0,2672896.0,2261632.0
58036, [o|u],760704.0,740224.0,850944.0,2351872.0,1591168.0,1611648.0
58036, [o|u],500096.0,810112.0,981888.0,2292096.0,1792000.0,1481984.0
58036, [o|u],300288.0,1041152.0,3863552.0,5204992.0,4904704.0,4163840.0
58036, [o|u],99712.0,991360.0,1301248.0,2392320.0,2292608.0,1400960.0
58036, [o|u],500352.0,690304.0,1101184.0,2291840.0,1791488.0,1601536.0
58036, [o|u],468864.0,937728.0,1405696.0,2812288.0,2343424.0,1874560.0
58036, [o|u],850176.0,870144.0,1514112.0,3234432.0,2384256.0,2364288.0
58036, [o|u],395392.0,1033856.0,1461376.0,2890624.0,2495232.0,1856768.0
58036, [o|u],497792.0,1057408.0,1339392.0,2894592.0,2396800.0,1837184.0
58036, [o|u],781312.0,1093760.0,1093632.0,2968704.0,2187392.0,1874944.0
58036, [o|u],599808.0,706816.0,982144.0,2288768.0,1688960.0,1581952.0
58036, [o|u],400384.0,639488.0,1453312.0,2493184.0,2092800.0,1853696.0
58036, [o|u],500480.0,941824.0,1051392.0,2493696.0,1993216.0,1551872.0
58036, [o|u],500224.0,1311616.0,2372096.0,4183936.0,3683712.0,2872320.0
58036, [o|u],781312.0,625152.0,937600.0,2344064.0,1562752.0,1718912.0
58036, [o|u],100096.0,645760.0,1437056.0,2182912.0,2082816.0,1537152.0
58036, [o|u],189952.0,770816.0,1421696.0,2382464.0,2192512.0,1611648.0
58036, [o|u],688000.0,1015296.0,975360.0,2678656.0,1990656.0,1663360.0
58036, [o|u],1022848.0,785152.0,1011456.0,2819456.0,1796608.0,2034304.0
58036, [o|u],855936.0,1032064.0,1055104.0,2943104.0,2087168.0,1911040.0
58036, [o|u],100096.0,1142400.0,1743360.0,2985856.0,2885760.0,1843456.0
58036, [o|u],780672.0,730752.0,960896.0,2472320.0,1691648.0,1741568.0
58036, [o|u],595584.0,740992.0,955904.0,2292480.0,1696896.0,1551488.0
58036, [o|u],499840.0,710656.0,1081216.0,2291712.0,1791872.0,1581056.0
58036, [o|u],468992.0,1093632.0,1406080.0,2968704.0,2499712.0,1875072.0
58036, [o|u],390656.0,971008.0,1020800.0,2382464.0,1991808.0,1411456.0
58036, [o|u],155904.0,780544.0,1875840.0,2812288.0,2656384.0,2031744.0
58036, [o|u],100352.0,767744.0,2534400.0,3402496.0,3302144.0,2634752.0
58036, [o|u],625024.0,937216.0,1249792.0,2812032.0,2187008.0,1874816.0
58036, [o|u],590208.0,530432.0,960896.0,2081536.0,1491328.0,1551104.0
58036, [o|u],710528.0,1260800.0,1131136.0,3102464.0,2391936.0,1841664.0
58036, [o|u],1083904.0,797824.0,989312.0,2871040.0,1787136.0,2073216.0
58036, [o|u],594560.0,951040.0,936192.0,2481792.0,1887232.0,1530752.0
58036, [o|u],600704.0,519936.0,971008.0,2091648.0,1490944.0,1571712.0
58036, [o|u],200320.0,660992.0,1330560.0,2191872.0,1991552.0,1530880.0
58036, [o|u],389760.0,700416.0,1081600.0,2171776.0,1782016.0,1471360.0
58036, [o|u],769024.0,630912.0,756224.0,2156160.0,1387136.0,1525248.0
58036, [o|u],498944.0,1161856.0,1030784.0,2691584.0,2192640.0,1529728.0
58036, [o|u],590208.0,674432.0,1018880.0,2283520.0,1693312.0,1609088.0
58036, [o|u],99712.0,661376.0,1823744.0,2584832.0,2485120.0,1923456.0
58036, [o|u],399872.0,630528.0,1051392.0,2081792.0,1681920.0,1451264.0
58036, [o|u],690816.0,796160.0,1000960.0,2487936.0,1797120.0,1691776.0
58036, [o|u],396032.0,655232.0,937856.0,1989120.0,1593088.0,1333888.0
58036, [o|u],595456.0,792192.0,899584.0,2287232.0,1691776.0,1495040.0
58036, [o|u],1519360.0,1201536.0,1292672.0,4013568.0,2494208.0,2812032.0
58036, [o|u],637312.0,545792.0,944512.0,2127616.0,1490304.0,1581824.0
58036, [o|u],9856.0,545664.0,1626624.0,2182144.0,2172288.0,1636480.0
58036, [o|u],100096.0,200192.0,1697408.0,1997696.0,1897600.0,1797504.0
58036, [o|u],600704.0,820736.0,780544.0,2201984.0,1601280.0,1381248.0
58036, [o|u],347648.0,1242496.0,2352000.0,3942144.0,3594496.0,2699648.0
58036, [o|u],790272.0,1100672.0,1291648.0,3182592.0,2392320.0,2081920.0
58036, [o|u],312320.0,468992.0,1562624.0,2343936.0,2031616.0,1874944.0
58036, [o|u],9984.0,1441536.0,39936.0,1491456.0,1481472.0,49920.0
58036, [o|u],1053440.0,699648.0,889856.0,2642944.0,1589504.0,1943296.0
58036, [o|u],161024.0,641536.0,1437056.0,2239616.0,2078592.0,1598080.0
58036, [o|u],390272.0,720768.0,1071104.0,2182144.0,1791872.0,1461376.0
58036, [o|u],1406336.0,781696.0,10156544.0,12344576.0,10938240.0,11562880.0
58036, [o|u],630528.0,780800.0,710144.0,2121472.0,1490944.0,1340672.0
58036, [o|u],990592.0,1122048.0,7341952.0,9454592.0,8464000.0,8332544.0
58036, [o|u],1070976.0,960768.0,1021440.0,3053184.0,1982208.0,2092416.0
58036, [o|u],664320.0,550912.0,841472.0,2056704.0,1392384.0,1505792.0
58036, [o|u],650240.0,540416.0,940928.0,2131584.0,1481344.0,1591168.0
58036, [o|u],900864.0,970368.0,1731584.0,3602816.0,2701952.0,2632448.0
58036, [o|u],1010432.0,840576.0,741120.0,2592128.0,1581696.0,1751552.0
58036, [o|u],624896.0,937216.0,1094016.0,2656128.0,2031232.0,1718912.0
58036, [o|u],590336.0,971264.0,910848.0,2472448.0,1882112.0,1501184.0
58036, [o|u],700416.0,560512.0,740864.0,2001792.0,1301376.0,1441280.0
58036, [o|u],490496.0,956800.0,1112320.0,2559616.0,2069120.0,1602816.0
58036, [o|u],290176.0,597888.0,1402496.0,2290560.0,2000384.0,1692672.0
58036, [o|u],520192.0,790912.0,900864.0,2211968.0,1691776.0,1421056.0
58036, [o|u],834560.0,710912.0,784640.0,2330112.0,1495552.0,1619200.0
58036, [o|u],492160.0,532096.0,1056128.0,2080384.0,1588224.0,1548288.0
58036, [o|u],720768.0,760704.0,940288.0,2421760.0,1700992.0,1661056.0
58036, [o|u],851328.0,691840.0,901120.0,2444288.0,1592960.0,1752448.0
58036, [o|u],1031040.0,1059712.0,1230848.0,3321600.0,2290560.0,2261888.0
58036, [o|u],490880.0,731136.0,970368.0,2192384.0,1701504.0,1461248.0
58036, [o|u],500736.0,591232.0,810624.0,1902592.0,1401856.0,1311360.0
58036, [o|u],555264.0,891520.0,996480.0,2443264.0,1888000.0,1551744.0
58036, [o|u],610560.0,600704.0,880896.0,2092160.0,1481600.0,1491456.0
58036, [o|u],592128.0,1202432.0,982272.0,2776832.0,2184704.0,1574400.0
58036, [o|u],790528.0,1121408.0,1671168.0,3583104.0,2792576.0,2461696.0
58036, [o|u],690816.0,1000832.0,1191296.0,2882944.0,2192128.0,1882112.0
58036, [o|u],830720.0,820480.0,971008.0,2622208.0,1791488.0,1801728.0
58036, [o|u],500352.0,570496.0,1030656.0,2101504.0,1601152.0,1531008.0
58036, [o|u],539136.0,636416.0,861184.0,2036736.0,1497600.0,1400320.0
58036, [o|u],848512.0,1175296.0,4493056.0,6516864.0,5668352.0,5341568.0
58036, [o|u],870912.0,1300864.0,1091200.0,3262976.0,2392064.0,1962112.0
58036, [o|u],1111552.0,851328.0,1831040.0,3793920.0,2682368.0,2942592.0
58036, [o|u],834688.0,641792.0,859520.0,2336000.0,1501312.0,1694208.0
58036, [o|u],490240.0,650624.0,1240960.0,2381824.0,1891584.0,1731200.0
58036, [o|u],693632.0,796032.0,1398272.0,2887936.0,2194304.0,2091904.0
58036, [o|u],500608.0,440192.0,1540992.0,2481792.0,1981184.0,2041600.0
58036, [o|u],780672.0,850816.0,850304.0,2481792.0,1701120.0,1630976.0
58036, [o|u],577536.0,913920.0,875904.0,2367360.0,1789824.0,1453440.0
58036, [o|u],498432.0,705152.0,1091968.0,2295552.0,1797120.0,1590400.0
58036, [o|u],630528.0,791168.0,810752.0,2232448.0,1601920.0,1441280.0
58036, [o|u],590464.0,720768.0,862336.0,2173568.0,1583104.0,1452800.0
58036, [o|u],670464.0,520832.0,870400.0,2061696.0,1391232.0,1540864.0
58036, [o|u],190464.0,590336.0,1300992.0,2081792.0,1891328.0,1491456.0
58036, [o|u],691072.0,930944.0,870656.0,2492672.0,1801600.0,1561728.0
58036, [o|u],700672.0,811008.0,880768.0,2392448.0,1691776.0,1581440.0
58036, [o|u],289792.0,740480.0,1141632.0,2171904.0,1882112.0,1431424.0
58036, [o|u],392064.0,608512.0,1075456.0,2076032.0,1683968.0,1467520.0
58036, [o|u],99968.0,640512.0,1631616.0,2372096.0,2272128.0,1731584.0
58036, [o|u],831488.0,569088.0,1025664.0,2426240.0,1594752.0,1857152.0
58036, [o|u],675968.0,967680.0,1125120.0,2768768.0,2092800.0,1801088.0
58036, [o|u],874496.0,750848.0,942464.0,2567808.0,1693312.0,1816960.0
58036, [o|u],685952.0,609408.0,987776.0,2283136.0,1597184.0,1673728.0
58036, [o|u],937472.0,625152.0,781440.0,2344064.0,1406592.0,1718912.0
58036, [o|u],200320.0,665600.0,1228032.0,2093952.0,1893632.0,1428352.0
58036, [o|u],908800.0,805632.0,990208.0,2704640.0,1795840.0,1899008.0
58036, [o|u],691200.0,770176.0,727296.0,2188672.0,1497472.0,1418496.0
58036, [o|u],1159040.0,686208.0,1003264.0,2848512.0,1689472.0,2162304.0
58036, [o|u],950784.0,1061376.0,1731328.0,3743488.0,2792704.0,2682112.0
58036, [o|u],195328.0,639104.0,1558016.0,2392448.0,2197120.0,1753344.0
58036, [o|u],1176704.0,992256.0,1205632.0,3374592.0,2197888.0,2382336.0
58036, [o|u],700928.0,1203712.0,984960.0,2889600.0,2188672.0,1685888.0
58036, [o|u],779392.0,660608.0,926464.0,2366464.0,1587072.0,1705856.0
58036, [o|u],487936.0,653568.0,1241856.0,2383360.0,1895424.0,1729792.0
58036, [o|u],312960.0,624896.0,1406208.0,2344064.0,2031104.0,1719168.0
58036, [o|u],399360.0,1120768.0,1081856.0,2601984.0,2202624.0,1481216.0
58036, [o|u],1011840.0,705792.0,791040.0,2508672.0,1496832.0,1802880.0
58036, [o|u],401536.0,706944.0,1288064.0,2396544.0,1995008.0,1689600.0
58036, [o|u],711040.0,764160.0,730496.0,2205696.0,1494656.0,1441536.0
58036, [o|u],800384.0,971392.0,820864.0,2592640.0,1792256.0,1621248.0
58036, [o|u],611072.0,730624.0,860800.0,2202496.0,1591424.0,1471872.0
58036, [o|u],199808.0,780800.0,1321088.0,2301696.0,2101888.0,1520896.0
58036, [o|u],860544.0,800384.0,801024.0,2461952.0,1601408.0,1661568.0
58036, [o|u],20224.0,710656.0,1270656.0,2001536.0,1981312.0,1290880.0
58036, [o|u],590592.0,650240.0,770560.0,2011392.0,1420800.0,1361152.0
58036, [o|u],600320.0,610816.0,980992.0,2192128.0,1591808.0,1581312.0
