ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
58036, [r|e],194688.0,500480.0,901888.0,1597056.0,1402368.0,1096576.0
58036, [r|e],387840.0,1345024.0,3706496.0,5439360.0,5051520.0,4094336.0
58036, [r|e],1335680.0,1137152.0,354048.0,2826880.0,1491200.0,1689728.0
58036, [r|e],1081984.0,1182848.0,600576.0,2865408.0,1783424.0,1682560.0
58036, [r|e],155904.0,312704.0,781824.0,1250432.0,1094528.0,937728.0
58036, [r|e],1230336.0,1101440.0,90112.0,2421888.0,1191552.0,1320448.0
58036, [r|e],312448.0,311936.0,781312.0,1405696.0,1093248.0,1093760.0
58036, [r|e],1492224.0,1200640.0,291968.0,2984832.0,1492608.0,1784192.0
58036, [r|e],160256.0,636160.0,641024.0,1437440.0,1277184.0,801280.0
58036, [r|e],297600.0,1194880.0,2682240.0,4174720.0,3877120.0,2979840.0
58036, [r|e],1250176.0,1562624.0,1093632.0,3906432.0,2656256.0,2343808.0
58036, [r|e],312832.0,625408.0,780928.0,1719168.0,1406336.0,1093760.0
58036, [r|e],670720.0,1061504.0,1281920.0,3014144.0,2343424.0,1952640.0
58036, [r|e],196224.0,395520.0,695040.0,1286784.0,1090560.0,891264.0
58036, [r|e],391296.0,296832.0,605952.0,1294080.0,902784.0,997248.0
58036, [r|e],312832.0,468608.0,468480.0,1249920.0,937088.0,781312.0
58036, [r|e],200448.0,4992.0,1293184.0,1498624.0,1298176.0,1493632.0
58036, [r|e],1011456.0,720256.0,70016.0,1801728.0,790272.0,1081472.0
58036, [r|e],200064.0,498816.0,496256.0,1195136.0,995072.0,696320.0
58036, [r|e],160128.0,636288.0,797824.0,1594240.0,1434112.0,957952.0
58036, [r|e],861056.0,759936.0,30464.0,1651456.0,790400.0,891520.0
58036, [r|e],700928.0,1062784.0,3211904.0,4975616.0,4274688.0,3912832.0
58036, [r|e],312832.0,469120.0,781056.0,1563008.0,1250176.0,1093888.0
58036, [r|e],201088.0,402432.0,887808.0,1491328.0,1290240.0,1088896.0
58036, [r|e],1301504.0,390528.0,5384576.0,7076608.0,5775104.0,6686080.0
58036, [r|e],199936.0,600704.0,600576.0,1401216.0,1201280.0,800512.0
58036, [r|e],156416.0,468736.0,468736.0,1093888.0,937472.0,625152.0
58036, [r|e],312576.0,312576.0,625280.0,1250432.0,937856.0,937856.0
58036, [r|e],1406208.0,1249920.0,468736.0,3124864.0,1718656.0,1874944.0
58036, [r|e],155136.0,402176.0,844416.0,1401728.0,1246592.0,999552.0
58036, [r|e],290432.0,300032.0,400768.0,991232.0,700800.0,691200.0
58036, [r|e],399616.0,503680.0,295808.0,1199104.0,799488.0,695424.0
58036, [r|e],156416.0,312448.0,2187136.0,2656000.0,2499584.0,2343552.0
58036, [r|e],195072.0,499456.0,899200.0,1593728.0,1398656.0,1094272.0
58036, [r|e],797568.0,786048.0,9728.0,1593344.0,795776.0,807296.0
58036, [r|e],342528.0,295552.0,896768.0,1534848.0,1192320.0,1239296.0
58036, [r|e],1138944.0,99584.0,1889024.0,3127552.0,1988608.0,3027968.0
58036, [r|e],1094272.0,781184.0,4686976.0,6562432.0,5468160.0,5781248.0
58036, [r|e],1250048.0,937472.0,2968576.0,5156096.0,3906048.0,4218624.0
58036, [r|e],1280768.0,1081600.0,909440.0,3271808.0,1991040.0,2190208.0
58036, [r|e],595072.0,100480.0,2376960.0,3072512.0,2477440.0,2972032.0
