ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
58036, [s|e],164992.0,160128.0,471680.0,796800.0,631808.0,636672.0
58036, [s|e],299904.0,600576.0,300800.0,1201280.0,901376.0,600704.0
58036, [s|e],501760.0,503680.0,391680.0,1397120.0,895360.0,893440.0
58036, [s|e],1451648.0,991232.0,1291008.0,3733888.0,2282240.0,2742656.0
58036, [s|e],1142912.0,1386880.0,12351616.0,14881408.0,13738496.0,13494528.0
58036, [s|e],298368.0,403328.0,597632.0,1299328.0,1000960.0,896000.0
58036, [s|e],1031552.0,199936.0,1201024.0,2432512.0,1400960.0,2232576.0
58036, [s|e],490112.0,290176.0,310272.0,1090560.0,600448.0,800384.0
58036, [s|e],200576.0,790400.0,790400.0,1781376.0,1580800.0,990976.0
58036, [s|e],1234560.0,1218304.0,3261440.0,5714304.0,4479744.0,4496000.0
58036, [s|e],1271424.0,199296.0,1892096.0,3362816.0,2091392.0,3163520.0
58036, [s|e],190208.0,391168.0,1988736.0,2570112.0,2379904.0,2178944.0
58036, [s|e],800768.0,691200.0,99584.0,1591552.0,790784.0,900352.0
58036, [s|e],468480.0,624896.0,468992.0,1562368.0,1093888.0,937472.0
58036, [s|e],10112.0,596864.0,975360.0,1582336.0,1572224.0,985472.0
58036, [s|e],590464.0,350848.0,400384.0,1341696.0,751232.0,990848.0
58036, [s|e],300288.0,300544.0,790656.0,1391488.0,1091200.0,1090944.0
58036, [s|e],1341440.0,1071232.0,1210880.0,3623552.0,2282112.0,2552320.0
58036, [s|e],1027712.0,207104.0,1094528.0,2329344.0,1301632.0,2122240.0
58036, [s|e],478208.0,1454080.0,1521024.0,3453312.0,2975104.0,1999232.0
58036, [s|e],312320.0,469120.0,1406336.0,2187776.0,1875456.0,1718656.0
58036, [s|e],400384.0,180096.0,811008.0,1391488.0,991104.0,1211392.0
58036, [s|e],100096.0,300032.0,600832.0,1000960.0,900864.0,700928.0
58036, [s|e],1040640.0,200192.0,1291392.0,2532224.0,1491584.0,2332032.0
58036, [s|e],300032.0,500480.0,600320.0,1400832.0,1100800.0,900352.0
58036, [s|e],1611904.0,510464.0,790144.0,2912512.0,1300608.0,2402048.0
58036, [s|e],1096064.0,1097728.0,200704.0,2394496.0,1298432.0,1296768.0
58036, [s|e],491008.0,199936.0,4483968.0,5174912.0,4683904.0,4974976.0
58036, [s|e],300032.0,290432.0,800384.0,1390848.0,1090816.0,1100416.0
58036, [s|e],155904.0,311808.0,782080.0,1249792.0,1093888.0,937984.0
58036, [s|e],1621376.0,99840.0,1691648.0,3412864.0,1791488.0,3313024.0
58036, [s|e],100352.0,300544.0,590464.0,991360.0,891008.0,690816.0
58036, [s|e],99712.0,590208.0,1191552.0,1881472.0,1781760.0,1291264.0
58036, [s|e],1240704.0,400000.0,1591680.0,3232384.0,1991680.0,2832384.0
58036, [s|e],1061376.0,941312.0,750336.0,2753024.0,1691648.0,1811712.0
58036, [s|e],600320.0,299648.0,296064.0,1196032.0,595712.0,896384.0
58036, [s|e],400128.0,290176.0,500480.0,1190784.0,790656.0,900608.0
58036, [s|e],1181184.0,199680.0,1581696.0,2962560.0,1781376.0,2762880.0
58036, [s|e],1193472.0,925568.0,1220992.0,3340032.0,2146560.0,2414464.0
58036, [s|e],1366656.0,946048.0,351232.0,2663936.0,1297280.0,1717888.0
58036, [s|e],400384.0,299648.0,300800.0,1000832.0,600448.0,701184.0
58036, [s|e],1030912.0,79360.0,2002048.0,3112320.0,2081408.0,3032960.0
58036, [s|e],390528.0,490752.0,2404736.0,3286016.0,2895488.0,2795264.0
58036, [s|e],300544.0,1100416.0,2392448.0,3793408.0,3492864.0,2692992.0
58036, [s|e],1051136.0,1120640.0,2772736.0,4944512.0,3893376.0,3823872.0
58036, [s|e],1183616.0,497152.0,591616.0,2272384.0,1088768.0,1775232.0
58036, [s|e],1591424.0,1171456.0,20096.0,2782976.0,1191552.0,1611520.0
58036, [s|e],1119616.0,1018752.0,2368128.0,4506496.0,3386880.0,3487744.0
58036, [s|e],95104.0,691200.0,1906816.0,2693120.0,2598016.0,2001920.0
58036, [s|e],9728.0,900352.0,1081472.0,1991552.0,1981824.0,1091200.0
58036, [s|e],871296.0,1100672.0,1101056.0,3073024.0,2201728.0,1972352.0
58036, [s|e],1249792.0,1093376.0,468864.0,2812032.0,1562240.0,1718656.0
58036, [s|e],1026816.0,390400.0,996992.0,2414208.0,1387392.0,2023808.0
58036, [s|e],405632.0,591104.0,493440.0,1490176.0,1084544.0,899072.0
58036, [s|e],1071232.0,760576.0,830848.0,2662656.0,1591424.0,1902080.0
58036, [s|e],1251200.0,200064.0,900480.0,2351744.0,1100544.0,2151680.0
58036, [s|e],99584.0,490368.0,500480.0,1090432.0,990848.0,600064.0
58036, [s|e],399232.0,596480.0,702208.0,1697920.0,1298688.0,1101440.0
58036, [s|e],1070976.0,1373568.0,1111168.0,3555712.0,2484736.0,2182144.0
58036, [s|e],1357696.0,986752.0,1699712.0,4044160.0,2686464.0,3057408.0
58036, [s|e],500864.0,400256.0,300032.0,1201152.0,700288.0,800896.0
58036, [s|e],1442304.0,1432704.0,1282176.0,4157184.0,2714880.0,2724480.0
58036, [s|e],198656.0,491136.0,698112.0,1387904.0,1189248.0,896768.0
58036, [s|e],195072.0,784512.0,4003328.0,4982912.0,4787840.0,4198400.0
58036, [s|e],854144.0,101376.0,1994624.0,2950144.0,2096000.0,2848768.0
58036, [s|e],200960.0,693632.0,697856.0,1592448.0,1391488.0,898816.0
58036, [s|e],1093760.0,312320.0,1250560.0,2656640.0,1562880.0,2344320.0
58036, [s|e],16128.0,295424.0,2264576.0,2576128.0,2560000.0,2280704.0
58036, [s|e],1003776.0,1542656.0,1154816.0,3701248.0,2697472.0,2158592.0
58036, [s|e],1329664.0,90880.0,1302656.0,2723200.0,1393536.0,2632320.0
58036, [s|e],890624.0,790656.0,2652672.0,4333952.0,3443328.0,3543296.0
58036, [s|e],190592.0,299904.0,1100928.0,1591424.0,1400832.0,1291520.0
58036, [s|e],500736.0,391552.0,3968.0,896256.0,395520.0,504704.0
58036, [s|e],300544.0,596096.0,496640.0,1393280.0,1092736.0,797184.0
58036, [s|e],290944.0,594304.0,110720.0,995968.0,705024.0,401664.0
58036, [s|e],101504.0,1218560.0,2757632.0,4077696.0,3976192.0,2859136.0
58036, [s|e],1011072.0,198272.0,2195456.0,3404800.0,2393728.0,3206528.0
58036, [s|e],199040.0,499456.0,600320.0,1298816.0,1099776.0,799360.0
58036, [s|e],1250048.0,312832.0,1249920.0,2812800.0,1562752.0,2499968.0
58036, [s|e],1388928.0,4992.0,1294976.0,2688896.0,1299968.0,2683904.0
58036, [s|e],1199232.0,1011072.0,1075328.0,3285632.0,2086400.0,2274560.0
58036, [s|e],1069952.0,398848.0,991872.0,2460672.0,1390720.0,2061824.0
58036, [s|e],353536.0,397440.0,647936.0,1398912.0,1045376.0,1001472.0
58036, [s|e],785664.0,199936.0,1390720.0,2376320.0,1590656.0,2176384.0
58036, [s|e],320512.0,793344.0,325888.0,1439744.0,1119232.0,646400.0
58036, [s|e],1341184.0,1131136.0,1161088.0,3633408.0,2292224.0,2502272.0
58036, [s|e],854784.0,297472.0,1990528.0,3142784.0,2288000.0,2845312.0
58036, [s|e],401536.0,294272.0,600320.0,1296128.0,894592.0,1001856.0
58036, [s|e],903296.0,840064.0,1247488.0,2990848.0,2087552.0,2150784.0
58036, [s|e],1101184.0,970880.0,420352.0,2492416.0,1391232.0,1521536.0
58036, [s|e],200064.0,590464.0,1100672.0,1891200.0,1691136.0,1300736.0
58036, [s|e],400128.0,190208.0,100096.0,690432.0,290304.0,500224.0
58036, [s|e],840704.0,299904.0,2092288.0,3232896.0,2392192.0,2932992.0
58036, [s|e],794112.0,395776.0,301952.0,1491840.0,697728.0,1096064.0
58036, [s|e],906752.0,101376.0,4088192.0,5096320.0,4189568.0,4994944.0
58036, [s|e],4992.0,700544.0,589056.0,1294592.0,1289600.0,594048.0
58036, [s|e],313088.0,781952.0,468224.0,1563264.0,1250176.0,781312.0
58036, [s|e],298240.0,299136.0,702336.0,1299712.0,1001472.0,1000576.0
58036, [s|e],1485824.0,175232.0,1515904.0,3176960.0,1691136.0,3001728.0
58036, [s|e],1392000.0,1530752.0,462464.0,3385216.0,1993216.0,1854464.0
58036, [s|e],390400.0,1310848.0,1281152.0,2982400.0,2592000.0,1671552.0
58036, [s|e],1381376.0,104832.0,1294336.0,2780544.0,1399168.0,2675712.0
58036, [s|e],863360.0,1112448.0,472832.0,2448640.0,1585280.0,1336192.0
58036, [s|e],5120.0,1197824.0,3079424.0,4282368.0,4277248.0,3084544.0
58036, [s|e],159616.0,630272.0,642176.0,1432064.0,1272448.0,801792.0
58036, [s|e],691072.0,920704.0,1280896.0,2892672.0,2201600.0,1971968.0
58036, [s|e],897920.0,395520.0,100224.0,1393664.0,495744.0,998144.0
58036, [s|e],400000.0,690432.0,1101184.0,2191616.0,1791616.0,1501184.0
58036, [s|e],490752.0,490368.0,209920.0,1191040.0,700288.0,700672.0
58036, [s|e],979456.0,1271040.0,1210880.0,3461376.0,2481920.0,2190336.0
58036, [s|e],1538560.0,87936.0,1794560.0,3421056.0,1882496.0,3333120.0
58036, [s|e],1271424.0,1261312.0,1921664.0,4454400.0,3182976.0,3193088.0
58036, [s|e],280064.0,580096.0,1611904.0,2472064.0,2192000.0,1891968.0
58036, [s|e],1161088.0,1068544.0,4216704.0,6446336.0,5285248.0,5377792.0
58036, [s|e],794112.0,1000192.0,3088384.0,4882688.0,4088576.0,3882496.0
58036, [s|e],640384.0,961408.0,61118848.0,62720640.0,62080256.0,61759232.0
58036, [s|e],400000.0,199936.0,791040.0,1390976.0,990976.0,1191040.0
58036, [s|e],1351424.0,300416.0,1095936.0,2747776.0,1396352.0,2447360.0
58036, [s|e],937600.0,312832.0,1561984.0,2812416.0,1874816.0,2499584.0
58036, [s|e],432640.0,193664.0,2356736.0,2983040.0,2550400.0,2789376.0
58036, [s|e],1221120.0,1110528.0,880768.0,3212416.0,1991296.0,2101888.0
58036, [s|e],610560.0,20480.0,2191744.0,2822784.0,2212224.0,2802304.0
58036, [s|e],630400.0,99968.0,2292608.0,3022976.0,2392576.0,2923008.0
58036, [s|e],830208.0,980864.0,911104.0,2722176.0,1891968.0,1741312.0
58036, [s|e],1271168.0,299904.0,1200896.0,2771968.0,1500800.0,2472064.0
58036, [s|e],301312.0,393856.0,896768.0,1591936.0,1290624.0,1198080.0
58036, [s|e],1220864.0,598784.0,1685120.0,3504768.0,2283904.0,2905984.0
58036, [s|e],199936.0,350336.0,2482432.0,3032704.0,2832768.0,2682368.0
58036, [s|e],1546240.0,503680.0,1193600.0,3243520.0,1697280.0,2739840.0
58036, [s|e],1381504.0,190080.0,1390464.0,2962048.0,1580544.0,2771968.0
58036, [s|e],792576.0,1282304.0,2402688.0,4477568.0,3684992.0,3195264.0
58036, [s|e],1273344.0,95104.0,1188992.0,2557440.0,1284096.0,2462336.0
58036, [s|e],1769472.0,99584.0,2193408.0,4062464.0,2292992.0,3962880.0
58036, [s|e],395904.0,401536.0,290304.0,1087744.0,691840.0,686208.0
58036, [s|e],195072.0,493952.0,403328.0,1092352.0,897280.0,598400.0
58036, [s|e],594944.0,194688.0,1398144.0,2187776.0,1592832.0,1993088.0
58036, [s|e],10112.0,499968.0,1081344.0,1591424.0,1581312.0,1091456.0
58036, [s|e],500352.0,700672.0,300416.0,1501440.0,1001088.0,800768.0
58036, [s|e],1881344.0,9984.0,3863296.0,5754624.0,3873280.0,5744640.0
58036, [s|e],930176.0,1020160.0,3955968.0,5906304.0,4976128.0,4886144.0
58036, [s|e],99968.0,1459072.0,6686976.0,8246016.0,8146048.0,6786944.0
58036, [s|e],299264.0,98048.0,1197568.0,1594880.0,1295616.0,1496832.0
58036, [s|e],882560.0,1251072.0,40127232.0,42260864.0,41378304.0,41009792.0
58036, [s|e],1231104.0,747136.0,852864.0,2831104.0,1600000.0,2083968.0
58036, [s|e],967168.0,689664.0,1106432.0,2763264.0,1796096.0,2073600.0
58036, [s|e],1294720.0,913920.0,789504.0,2998144.0,1703424.0,2084224.0
58036, [s|e],1145344.0,1286144.0,504960.0,2936448.0,1791104.0,1650304.0
58036, [s|e],156032.0,313216.0,624768.0,1094016.0,937984.0,780800.0
58036, [s|e],1371392.0,180352.0,1411072.0,2962816.0,1591424.0,2782464.0
58036, [s|e],1080960.0,1287936.0,510720.0,2879616.0,1798656.0,1591680.0
58036, [s|e],798464.0,394752.0,100096.0,1293312.0,494848.0,898560.0
58036, [s|e],390656.0,500096.0,600960.0,1491712.0,1101056.0,991616.0
58036, [s|e],740224.0,95104.0,2194560.0,3029888.0,2289664.0,2934784.0
58036, [s|e],1034752.0,399360.0,799616.0,2233728.0,1198976.0,1834368.0
58036, [s|e],394752.0,699264.0,401792.0,1495808.0,1101056.0,796544.0
58036, [s|e],94976.0,201600.0,895872.0,1192448.0,1097472.0,990848.0
58036, [s|e],701184.0,997504.0,3594112.0,5292800.0,4591616.0,4295296.0
58036, [s|e],1190528.0,881024.0,511104.0,2582656.0,1392128.0,1701632.0
58036, [s|e],1300864.0,1011200.0,80000.0,2392064.0,1091200.0,1380864.0
