ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
58036, [t|e],777984.0,393984.0,1197568.0,2369536.0,1591552.0,1975552.0
58036, [t|e],400512.0,400384.0,590720.0,1391616.0,991104.0,991232.0
58036, [t|e],1501184.0,1140480.0,450432.0,3092096.0,1590912.0,1951616.0
58036, [t|e],312192.0,1563136.0,1562496.0,3437824.0,3125632.0,1874688.0
58036, [t|e],1278464.0,1442944.0,12401152.0,15122560.0,13844096.0,13679616.0
58036, [t|e],295424.0,492544.0,496768.0,1284736.0,989312.0,792192.0
58036, [t|e],95360.0,94848.0,900864.0,1091072.0,995712.0,996224.0
58036, [t|e],190464.0,860800.0,2812800.0,3864064.0,3673600.0,3003264.0
58036, [t|e],299520.0,200320.0,496128.0,995968.0,696448.0,795648.0
58036, [t|e],1651200.0,740608.0,339968.0,2731776.0,1080576.0,1991168.0
58036, [t|e],359808.0,1411200.0,1601920.0,3372928.0,3013120.0,1961728.0
58036, [t|e],156032.0,1093888.0,1250176.0,2500096.0,2344064.0,1406208.0
58036, [t|e],401024.0,195328.0,700672.0,1297024.0,896000.0,1101696.0
58036, [t|e],300288.0,1261056.0,1121024.0,2682368.0,2382080.0,1421312.0
58036, [t|e],400768.0,249856.0,797440.0,1448064.0,1047296.0,1198208.0
58036, [t|e],1153920.0,199680.0,1192960.0,2546560.0,1392640.0,2346880.0
58036, [t|e],1143936.0,701312.0,2190464.0,4035712.0,2891776.0,3334400.0
58036, [t|e],194432.0,300416.0,597888.0,1092736.0,898304.0,792320.0
58036, [t|e],299648.0,1117056.0,1374592.0,2791296.0,2491648.0,1674240.0
58036, [t|e],165632.0,330240.0,794368.0,1290240.0,1124608.0,960000.0
58036, [t|e],390528.0,400128.0,200192.0,990848.0,600320.0,590720.0
58036, [t|e],10112.0,199936.0,1081472.0,1291520.0,1281408.0,1091584.0
58036, [t|e],199808.0,300288.0,700672.0,1200768.0,1000960.0,900480.0
58036, [t|e],995072.0,504064.0,902272.0,2401408.0,1406336.0,1897344.0
58036, [t|e],937472.0,624768.0,937344.0,2499584.0,1562112.0,1874816.0
58036, [t|e],1491200.0,1130624.0,1051392.0,3673216.0,2182016.0,2542592.0
58036, [t|e],1016192.0,398080.0,897536.0,2311808.0,1295616.0,1913728.0
58036, [t|e],1538176.0,10240.0,854272.0,2402688.0,864512.0,2392448.0
58036, [t|e],901120.0,930432.0,960768.0,2792320.0,1891200.0,1861888.0
58036, [t|e],9728.0,190080.0,2372480.0,2572288.0,2562560.0,2382208.0
58036, [t|e],294528.0,875520.0,9796736.0,10966784.0,10672256.0,10091264.0
58036, [t|e],95872.0,394752.0,697728.0,1188352.0,1092480.0,793600.0
58036, [t|e],296448.0,295680.0,304128.0,896256.0,599808.0,600576.0
58036, [t|e],505344.0,199552.0,484992.0,1189888.0,684544.0,990336.0
58036, [t|e],1071360.0,880384.0,410496.0,2362240.0,1290880.0,1481856.0
58036, [t|e],1360896.0,1491840.0,1181056.0,4033792.0,2672896.0,2541952.0
58036, [t|e],1260928.0,1321344.0,1070976.0,3653248.0,2392320.0,2331904.0
58036, [t|e],1249664.0,156032.0,1250816.0,2656512.0,1406848.0,2500480.0
58036, [t|e],1122432.0,1120384.0,320384.0,2563200.0,1440768.0,1442816.0
58036, [t|e],396928.0,804608.0,1391232.0,2592768.0,2195840.0,1788160.0
58036, [t|e],536448.0,300288.0,1690496.0,2527232.0,1990784.0,2226944.0
58036, [t|e],1250304.0,624640.0,468992.0,2343936.0,1093632.0,1719296.0
58036, [t|e],320768.0,159744.0,1112448.0,1592960.0,1272192.0,1433216.0
58036, [t|e],200192.0,591104.0,499840.0,1291136.0,1090944.0,700032.0
58036, [t|e],200320.0,100096.0,795392.0,1095808.0,895488.0,995712.0
58036, [t|e],99840.0,200576.0,690432.0,990848.0,891008.0,790272.0
58036, [t|e],298112.0,100224.0,695168.0,1093504.0,795392.0,993280.0
58036, [t|e],199808.0,620800.0,1751936.0,2572544.0,2372736.0,1951744.0
58036, [t|e],811264.0,951296.0,740096.0,2502656.0,1691392.0,1551360.0
58036, [t|e],1093248.0,937216.0,469248.0,2499712.0,1406464.0,1562496.0
