ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
58036, [a|r],400256.0,600064.0,400896.0,1401216.0,1000960.0,801152.0
58036, [a|r],694912.0,599168.0,303232.0,1597312.0,902400.0,998144.0
58036, [a|r],1718528.0,1406592.0,312576.0,3437696.0,1719168.0,2031104.0
58036, [a|r],102144.0,497152.0,603648.0,1202944.0,1100800.0,705792.0
58036, [a|r],500096.0,691072.0,100224.0,1291392.0,791296.0,600320.0
58036, [a|r],1311232.0,621056.0,1371136.0,3303424.0,1992192.0,2682368.0
58036, [a|r],687616.0,1446144.0,2144896.0,4278656.0,3591040.0,2832512.0
58036, [a|r],10368.0,800128.0,770944.0,1581440.0,1571072.0,781312.0
58036, [a|r],196224.0,791424.0,596736.0,1584384.0,1388160.0,792960.0
58036, [a|r],695040.0,298240.0,500736.0,1494016.0,798976.0,1195776.0
58036, [a|r],195200.0,394752.0,1195008.0,1784960.0,1589760.0,1390208.0
58036, [a|r],801408.0,991232.0,99328.0,1891968.0,1090560.0,900736.0
58036, [a|r],99840.0,490624.0,1000704.0,1591168.0,1491328.0,1100544.0
58036, [a|r],200320.0,342528.0,1247232.0,1790080.0,1589760.0,1447552.0
58036, [a|r],600832.0,990976.0,300160.0,1891968.0,1291136.0,900992.0
58036, [a|r],494720.0,195456.0,1297664.0,1987840.0,1493120.0,1792384.0
58036, [a|r],189952.0,691072.0,800512.0,1681536.0,1491584.0,990464.0
58036, [a|r],401152.0,9856.0,1096320.0,1507328.0,1106176.0,1497472.0
58036, [a|r],490624.0,400384.0,1001216.0,1892224.0,1401600.0,1491840.0
58036, [a|r],289920.0,390144.0,901376.0,1581440.0,1291520.0,1191296.0
58036, [a|r],203392.0,999808.0,998400.0,2201600.0,1998208.0,1201792.0
58036, [a|r],1562368.0,1249920.0,781440.0,3593728.0,2031360.0,2343808.0
58036, [a|r],690432.0,901248.0,400256.0,1991936.0,1301504.0,1090688.0
58036, [a|r],199680.0,495104.0,1097088.0,1791872.0,1592192.0,1296768.0
58036, [a|r],200192.0,247424.0,1254912.0,1702528.0,1502336.0,1455104.0
58036, [a|r],165248.0,802432.0,1115264.0,2082944.0,1917696.0,1280512.0
58036, [a|r],1362048.0,829312.0,774016.0,2965376.0,1603328.0,2136064.0
58036, [a|r],490112.0,790912.0,500864.0,1781888.0,1291776.0,990976.0
58036, [a|r],312832.0,937344.0,781312.0,2031488.0,1718656.0,1094144.0
58036, [a|r],1962368.0,1091072.0,16264704.0,19318144.0,17355776.0,18227072.0
58036, [a|r],300288.0,199936.0,591104.0,1091328.0,791040.0,891392.0
58036, [a|r],578944.0,702336.0,397312.0,1678592.0,1099648.0,976256.0
58036, [a|r],199552.0,102272.0,1594880.0,1896704.0,1697152.0,1794432.0
58036, [a|r],600192.0,600448.0,791168.0,1991808.0,1391616.0,1391360.0
58036, [a|r],1982848.0,1582336.0,3568128.0,7133312.0,5150464.0,5550976.0
58036, [a|r],290432.0,800512.0,400384.0,1491328.0,1200896.0,690816.0
58036, [a|r],100352.0,499968.0,1190784.0,1791104.0,1690752.0,1291136.0
58036, [a|r],697472.0,700928.0,595200.0,1993600.0,1296128.0,1292672.0
58036, [a|r],400128.0,400768.0,691456.0,1492352.0,1092224.0,1091584.0
58036, [a|r],290304.0,400384.0,500864.0,1191552.0,901248.0,791168.0
58036, [a|r],500480.0,600576.0,500352.0,1601408.0,1100928.0,1000832.0
58036, [a|r],800768.0,691200.0,9600.0,1501568.0,700800.0,810368.0
58036, [a|r],290048.0,800384.0,601088.0,1691520.0,1401472.0,891136.0
58036, [a|r],499712.0,199936.0,598400.0,1298048.0,798336.0,1098112.0
58036, [a|r],200448.0,490496.0,1000576.0,1691520.0,1491072.0,1201024.0
58036, [a|r],110464.0,600064.0,1291136.0,2001664.0,1891200.0,1401600.0
58036, [a|r],500224.0,299776.0,900864.0,1700864.0,1200640.0,1401088.0
58036, [a|r],1782144.0,870784.0,2421760.0,5074688.0,3292544.0,4203904.0
58036, [a|r],290560.0,791296.0,700288.0,1782144.0,1491584.0,990848.0
58036, [a|r],286208.0,603648.0,500736.0,1390592.0,1104384.0,786944.0
58036, [a|r],156544.0,780928.0,1093760.0,2031232.0,1874688.0,1250304.0
