ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
76383, [a|s],30080.0,350080.0,1299968.0,1680128.0,1650048.0,1330048.0
76383, [a|s],1009152.0,468480.0,937984.0,2415616.0,1406464.0,1947136.0
76383, [a|s],577920.0,312064.0,2324096.0,3214080.0,2636160.0,2902016.0
76383, [a|s],430080.0,4540288.0,13960704.0,18931072.0,18500992.0,14390784.0
76383, [a|s],5110272.0,2770176.0,5140224.0,13020672.0,7910400.0,10250496.0
76383, [a|s],189952.0,320128.0,1170048.0,1680128.0,1490176.0,1360000.0
76383, [a|s],2780160.0,3240192.0,25671424.0,31691776.0,28911616.0,28451584.0
76383, [a|s],210048.0,467968.0,796032.0,1474048.0,1264000.0,1006080.0
76383, [a|s],3420288.0,1560064.0,17550976.0,22531328.0,19111040.0,20971264.0
76383, [a|s],60032.0,439936.0,1020032.0,1520000.0,1459968.0,1080064.0
76383, [a|s],1601024.0,1200896.0,1761152.0,4563072.0,2962048.0,3362176.0
76383, [a|s],1521152.0,1200768.0,950656.0,3672576.0,2151424.0,2471808.0
76383, [a|s],1430144.0,1530112.0,29201664.0,32161920.0,30731776.0,30631808.0
76383, [a|s],419968.0,320000.0,750080.0,1490048.0,1070080.0,1170048.0
76383, [a|s],29952.0,1650048.0,1730176.0,3410176.0,3380224.0,1760128.0
76383, [a|s],320128.0,1080064.0,2080000.0,3480192.0,3160064.0,2400128.0
76383, [a|s],610048.0,1270016.0,7470464.0,9350528.0,8740480.0,8080512.0
76383, [a|s],1120768.0,1280896.0,640384.0,3042048.0,1921280.0,1761152.0
76383, [a|s],1113984.0,784000.0,1102080.0,3000064.0,1886080.0,2216064.0
76383, [a|s],1950080.0,1310080.0,9320576.0,12580736.0,10630656.0,11270656.0
76383, [a|s],800512.0,640512.0,1040768.0,2481792.0,1681280.0,1841280.0
76383, [a|s],1090048.0,1200000.0,3820288.0,6110336.0,5020288.0,4910336.0
76383, [a|s],1571968.0,1593984.0,30080.0,3196032.0,1624064.0,1602048.0
76383, [a|s],551936.0,311936.0,528128.0,1392000.0,840064.0,1080064.0
76383, [a|s],1280768.0,1761152.0,790656.0,3832576.0,2551808.0,2071424.0
76383, [a|s],480256.0,1280896.0,2321664.0,4082816.0,3602560.0,2801920.0
76383, [a|s],1110016.0,1920128.0,41792384.0,44822528.0,43712512.0,42902400.0
76383, [a|s],1090048.0,889984.0,1500160.0,3480192.0,2390144.0,2590208.0
76383, [a|s],760064.0,209920.0,320000.0,1289984.0,529920.0,1080064.0
76383, [a|s],1249920.0,1406080.0,625024.0,3281024.0,2031104.0,1874944.0
76383, [a|s],872064.0,774016.0,1420032.0,3066112.0,2194048.0,2292096.0
76383, [a|s],311936.0,1614080.0,1552000.0,3478016.0,3166080.0,1863936.0
76383, [a|s],759936.0,1206016.0,4294144.0,6260096.0,5500160.0,5054080.0
76383, [a|s],540032.0,1880192.0,1560064.0,3980288.0,3440256.0,2100096.0
76383, [a|s],1030016.0,410112.0,1390080.0,2830208.0,1800192.0,2420096.0
76383, [a|s],1420032.0,1350016.0,332032.0,3102080.0,1682048.0,1752064.0
76383, [a|s],156032.0,352000.0,1084032.0,1592064.0,1436032.0,1240064.0
76383, [a|s],3450240.0,3700224.0,29952.0,7180416.0,3730176.0,3480192.0
76383, [a|s],1287936.0,1406080.0,780032.0,3474048.0,2186112.0,2067968.0
