ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
58036, [e|a],390400.0,1621248.0,4434432.0,6446080.0,6055680.0,4824832.0
58036, [e|a],4992.0,487936.0,1181312.0,1674240.0,1669248.0,1186304.0
58036, [e|a],1351040.0,1491328.0,1501440.0,4343808.0,2992768.0,2852480.0
58036, [e|a],490880.0,100096.0,500224.0,1091200.0,600320.0,991104.0
58036, [e|a],1093504.0,1093760.0,1093888.0,3281152.0,2187648.0,2187392.0
58036, [e|a],299904.0,300160.0,390656.0,990720.0,690816.0,690560.0
58036, [e|a],446848.0,396800.0,345984.0,1189632.0,742784.0,792832.0
58036, [e|a],710016.0,490496.0,90368.0,1290880.0,580864.0,800384.0
58036, [e|a],150272.0,298240.0,700672.0,1149184.0,998912.0,850944.0
58036, [e|a],861056.0,1431168.0,1951616.0,4243840.0,3382784.0,2812672.0
58036, [e|a],200064.0,199680.0,690944.0,1090688.0,890624.0,891008.0
58036, [e|a],96128.0,199936.0,990720.0,1286784.0,1190656.0,1086848.0
58036, [e|a],390784.0,499968.0,300288.0,1191040.0,800256.0,691072.0
58036, [e|a],310016.0,99712.0,490496.0,900224.0,590208.0,800512.0
58036, [e|a],797184.0,793600.0,100096.0,1690880.0,893696.0,897280.0
58036, [e|a],937600.0,156032.0,1874944.0,2968576.0,2030976.0,2812544.0
58036, [e|a],190464.0,400256.0,900992.0,1491712.0,1301248.0,1091456.0
58036, [e|a],590592.0,400000.0,601088.0,1591680.0,1001088.0,1191680.0
58036, [e|a],300544.0,300544.0,500096.0,1101184.0,800640.0,800640.0
58036, [e|a],10240.0,296320.0,1385472.0,1692032.0,1681792.0,1395712.0
58036, [e|a],400384.0,290432.0,700160.0,1390976.0,990592.0,1100544.0
58036, [e|a],9600.0,10240.0,2472320.0,2492160.0,2482560.0,2481920.0
58036, [e|a],310016.0,99584.0,390784.0,800384.0,490368.0,700800.0
58036, [e|a],597632.0,200064.0,196992.0,994688.0,397056.0,794624.0
58036, [e|a],600832.0,100096.0,199680.0,900608.0,299776.0,800512.0
58036, [e|a],500480.0,290816.0,399872.0,1191168.0,690688.0,900352.0
58036, [e|a],403968.0,596480.0,95616.0,1096064.0,692096.0,499584.0
58036, [e|a],501248.0,403584.0,396800.0,1301632.0,800384.0,898048.0
58036, [e|a],401792.0,300416.0,296832.0,999040.0,597248.0,698624.0
58036, [e|a],400384.0,400384.0,400128.0,1200896.0,800512.0,800512.0
58036, [e|a],296704.0,199040.0,601728.0,1097472.0,800768.0,898432.0
58036, [e|a],400384.0,401408.0,300160.0,1101952.0,701568.0,700544.0
58036, [e|a],100096.0,500480.0,601216.0,1201792.0,1101696.0,701312.0
58036, [e|a],9216.0,999680.0,981376.0,1990272.0,1981056.0,990592.0
58036, [e|a],200448.0,498048.0,400640.0,1099136.0,898688.0,601088.0
58036, [e|a],198912.0,602624.0,593536.0,1395072.0,1196160.0,792448.0
58036, [e|a],292352.0,396160.0,404352.0,1092864.0,800512.0,696704.0
58036, [e|a],398208.0,296064.0,1402368.0,2096640.0,1698432.0,1800576.0
58036, [e|a],803456.0,401024.0,79872.0,1284352.0,480896.0,883328.0
58036, [e|a],198016.0,400768.0,798080.0,1396864.0,1198848.0,996096.0
58036, [e|a],100096.0,100096.0,890880.0,1091072.0,990976.0,990976.0
58036, [e|a],498304.0,96128.0,401536.0,995968.0,497664.0,899840.0
58036, [e|a],700032.0,10240.0,508288.0,1218560.0,518528.0,1208320.0
58036, [e|a],1092352.0,401152.0,1993984.0,3487488.0,2395136.0,3086336.0
58036, [e|a],590464.0,100096.0,1691520.0,2382080.0,1791616.0,2281984.0
58036, [e|a],600320.0,390912.0,200064.0,1191296.0,590976.0,800384.0
58036, [e|a],392320.0,199808.0,796800.0,1388928.0,996608.0,1189120.0
58036, [e|a],295424.0,500992.0,400000.0,1196416.0,900992.0,695424.0
58036, [e|a],9472.0,199808.0,1081344.0,1290624.0,1281152.0,1090816.0
