ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB)
58036, [e|d],925312.0,299648.0,1201280.0,2426240.0,1500928.0,2126592.0
58036, [e|d],495488.0,984832.0,1313536.0,2793856.0,2298368.0,1809024.0
58036, [e|d],99840.0,910336.0,3863936.0,4874112.0,4774272.0,3963776.0
58036, [e|d],240896.0,930432.0,2261888.0,3433216.0,3192320.0,2502784.0
58036, [e|d],1180672.0,1161472.0,1110912.0,3453056.0,2272384.0,2291584.0
58036, [e|d],946176.0,982912.0,1604224.0,3533312.0,2587136.0,2550400.0
58036, [e|d],560512.0,1030528.0,4024064.0,5615104.0,5054592.0,4584576.0
58036, [e|d],844032.0,1080704.0,6176000.0,8100736.0,7256704.0,7020032.0
58036, [e|d],300032.0,870272.0,1922304.0,3092608.0,2792576.0,2222336.0
58036, [e|d],931072.0,480384.0,1601024.0,3012480.0,2081408.0,2532096.0
58036, [e|d],920320.0,980992.0,920704.0,2822016.0,1901696.0,1841024.0
58036, [e|d],480128.0,980352.0,1812096.0,3272576.0,2792448.0,2292224.0
58036, [e|d],869888.0,1197952.0,1187328.0,3255168.0,2385280.0,2057216.0
58036, [e|d],820992.0,711552.0,980992.0,2513536.0,1692544.0,1801984.0
58036, [e|d],881024.0,990464.0,1200640.0,3072128.0,2191104.0,2081664.0
58036, [e|d],756224.0,937600.0,4928000.0,6621824.0,5865600.0,5684224.0
58036, [e|d],690432.0,1001088.0,1181056.0,2872576.0,2182144.0,1871488.0
58036, [e|d],200192.0,780800.0,1801600.0,2782592.0,2582400.0,2001792.0
58036, [e|d],105216.0,946304.0,2843136.0,3894656.0,3789440.0,2948352.0
58036, [e|d],299904.0,1260928.0,2022016.0,3582848.0,3282944.0,2321920.0
58036, [e|d],1020672.0,931072.0,2062208.0,4013952.0,2993280.0,3082880.0
58036, [e|d],853888.0,595840.0,1395200.0,2844928.0,1991040.0,2249088.0
58036, [e|d],312832.0,1093760.0,1562752.0,2969344.0,2656512.0,1875584.0
58036, [e|d],200192.0,1141120.0,3443584.0,4784896.0,4584704.0,3643776.0
58036, [e|d],780928.0,890880.0,1290880.0,2962688.0,2181760.0,2071808.0
58036, [e|d],294272.0,579456.0,2215424.0,3089152.0,2794880.0,2509696.0
58036, [e|d],780928.0,946304.0,1046912.0,2774144.0,1993216.0,1827840.0
58036, [e|d],1051264.0,299776.0,1381376.0,2732416.0,1681152.0,2432640.0
58036, [e|d],1131008.0,200448.0,2171520.0,3502976.0,2371968.0,3302528.0
58036, [e|d],660864.0,99840.0,2291712.0,3052416.0,2391552.0,2952576.0
58036, [e|d],1121664.0,951936.0,801792.0,2875392.0,1753728.0,1923456.0
58036, [e|d],79872.0,881024.0,2211840.0,3172736.0,3092864.0,2291712.0
58036, [e|d],690432.0,750848.0,1741568.0,3182848.0,2492416.0,2432000.0
58036, [e|d],499840.0,200192.0,2492288.0,3192320.0,2692480.0,2992128.0
58036, [e|d],980352.0,951168.0,891008.0,2822528.0,1842176.0,1871360.0
58036, [e|d],1085440.0,197504.0,1294720.0,2577664.0,1492224.0,2380160.0
58036, [e|d],99840.0,1131264.0,2451968.0,3683072.0,3583232.0,2551808.0
58036, [e|d],176128.0,911744.0,2972160.0,4060032.0,3883904.0,3148288.0
58036, [e|d],951424.0,299520.0,2392320.0,3643264.0,2691840.0,3343744.0
58036, [e|d],1110272.0,1233920.0,645376.0,2989568.0,1879296.0,1755648.0
58036, [e|d],800384.0,1050368.0,1131776.0,2982528.0,2182144.0,1932160.0
58036, [e|d],880896.0,1181440.0,2601984.0,4664320.0,3783424.0,3482880.0
58036, [e|d],960896.0,540288.0,1351552.0,2852736.0,1891840.0,2312448.0
58036, [e|d],312192.0,937472.0,1562880.0,2812544.0,2500352.0,1875072.0
58036, [e|d],752768.0,4992.0,999168.0,1756928.0,1004160.0,1751936.0
58036, [e|d],390912.0,961152.0,3112192.0,4464256.0,4073344.0,3503104.0
58036, [e|d],100224.0,990848.0,1491712.0,2582784.0,2482560.0,1591936.0
58036, [e|d],900608.0,930688.0,1451136.0,3282432.0,2381824.0,2351744.0
58036, [e|d],452480.0,1170688.0,1214592.0,2837760.0,2385280.0,1667072.0
58036, [e|d],742912.0,740864.0,1349504.0,2833280.0,2090368.0,2092416.0
58036, [e|d],303616.0,691200.0,1688832.0,2683648.0,2380032.0,1992448.0
58036, [e|d],920704.0,1021056.0,971264.0,2913024.0,1992320.0,1891968.0
58036, [e|d],300288.0,865408.0,2135808.0,3301504.0,3001216.0,2436096.0
58036, [e|d],696576.0,993024.0,1195008.0,2884608.0,2188032.0,1891584.0
58036, [e|d],19456.0,1102080.0,2654080.0,3775616.0,3756160.0,2673536.0
58036, [e|d],198784.0,1284992.0,1417216.0,2900992.0,2702208.0,1616000.0
58036, [e|d],313088.0,937600.0,1562624.0,2813312.0,2500224.0,1875712.0
58036, [e|d],699520.0,990336.0,1880320.0,3570176.0,2870656.0,2579840.0
58036, [e|d],862720.0,201600.0,2991104.0,4055424.0,3192704.0,3853824.0
58036, [e|d],9088.0,1001600.0,2475776.0,3486464.0,3477376.0,2484864.0
58036, [e|d],180096.0,1051264.0,1240832.0,2472192.0,2292096.0,1420928.0
58036, [e|d],960640.0,290432.0,2592000.0,3843072.0,2882432.0,3552640.0
58036, [e|d],499200.0,695808.0,1399424.0,2594432.0,2095232.0,1898624.0
58036, [e|d],1562368.0,937728.0,2656256.0,5156352.0,3593984.0,4218624.0
58036, [e|d],977664.0,595584.0,1091072.0,2664320.0,1686656.0,2068736.0
58036, [e|d],290432.0,881280.0,1711488.0,2883200.0,2592768.0,2001920.0
58036, [e|d],200064.0,1090816.0,1381888.0,2672768.0,2472704.0,1581952.0
58036, [e|d],730880.0,200704.0,1991552.0,2923136.0,2192256.0,2722432.0
58036, [e|d],740736.0,941184.0,1050496.0,2732416.0,1991680.0,1791232.0
58036, [e|d],670976.0,910848.0,1181056.0,2762880.0,2091904.0,1852032.0
58036, [e|d],1071616.0,912512.0,4849664.0,6833792.0,5762176.0,5921280.0
58036, [e|d],294656.0,1139840.0,1441280.0,2875776.0,2581120.0,1735936.0
58036, [e|d],468992.0,624896.0,2031360.0,3125248.0,2656256.0,2500352.0
58036, [e|d],789760.0,810752.0,1681792.0,3282304.0,2492544.0,2471552.0
58036, [e|d],820480.0,842624.0,1047424.0,2710528.0,1890048.0,1867904.0
58036, [e|d],932224.0,560640.0,1031936.0,2524800.0,1592576.0,1964160.0
58036, [e|d],877440.0,1298688.0,1283328.0,3459456.0,2582016.0,2160768.0
